tag,tag_kind,tag_source,finding_id,name,pack_id,source_id,evaluation_mode,severity,status,maturity
access-control,routing,catalog,identity-github-terminated-active-account,Github Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-gong-duplicate-email,Gong Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-gong-terminated-active-account,Gong Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-google-workspace-duplicate-email,Google Workspace Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-google-workspace-terminated-active-account,Google Workspace Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-jamf-duplicate-email,Jamf Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-jamf-terminated-active-account,Jamf Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-jumpcloud-deprovision,JumpCloud Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-jumpcloud-duplicate-email,Jumpcloud Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-jumpcloud-terminated-active-account,Jumpcloud Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-kandji-duplicate-email,Kandji Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-kandji-terminated-active-account,Kandji Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-kolide-duplicate-email,Kolide Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-kolide-terminated-active-account,Kolide Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-office365-deprovision,Office 365 Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-okta-duplicate-email,Okta Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-okta-terminated-active-account,Okta Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-onelogin-duplicate-email,Onelogin Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-onelogin-terminated-active-account,Onelogin Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-oracle-idcs-deprovision,Oracle IDCS Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-oracle-idcs-duplicate-email,Oracle Idcs Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-oracle-idcs-terminated-active-account,Oracle Idcs Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-panther-duplicate-email,Panther Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-panther-terminated-active-account,Panther Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-pingidentity-deprovision,PingIdentity Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-pingidentity-duplicate-email,Pingidentity Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-pingidentity-terminated-active-account,Pingidentity Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-ramp-duplicate-email,Ramp Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-ramp-terminated-active-account,Ramp Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-sailpoint-deprovision,SailPoint Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-sailpoint-duplicate-email,Sailpoint Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-sailpoint-terminated-active-account,Sailpoint Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-salesforce-duplicate-email,Salesforce Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-salesforce-terminated-active-account,Salesforce Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-saviynt-deprovision,Saviynt Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-saviynt-duplicate-email,Saviynt Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-saviynt-terminated-active-account,Saviynt Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-servicenow-duplicate-email,Servicenow Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-servicenow-terminated-active-account,Servicenow Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-slack-deprovision,Slack Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-slack-duplicate-email,Slack Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-slack-terminated-active-account,Slack Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-splunk-duplicate-email,Splunk Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-splunk-terminated-active-account,Splunk Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-tailscale-deprovision,Tailscale Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-tailscale-duplicate-email,Tailscale Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-tailscale-terminated-active-account,Tailscale Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-vanta-duplicate-email,Vanta Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-vanta-terminated-active-account,Vanta Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-workday-duplicate-email,Workday Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-workday-terminated-active-account,Workday Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-zoom-duplicate-email,Zoom Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-zoom-terminated-active-account,Zoom Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,m365-terminated-users-active,M365 Accounts Disabled on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,tailscale-tailnet-device-approval-disabled,Tailscale Tailnet Device Approval Disabled,tailscale,tailscale,event,medium,open,test
access-control,routing,catalog,terraform-cloud-no-team-access-control,Terraform Cloud Workspace Without Team Access Control,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-atlassian-duplicate-group-name,Atlassian Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-cyberark-duplicate-group-name,Cyberark Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-duo-duplicate-group-name,Duo Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-entra-duplicate-group-name,Entra Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-forgerock-duplicate-group-name,Forgerock Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-github-runner-duplicate-group-name,Github Runner Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-google-workspace-duplicate-group-name,Google Workspace Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-jumpcloud-duplicate-group-name,Jumpcloud Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-okta-app-access-without-assignment,Okta App Access Without Assignment,policy,policy,event,high,active,candidate
access-governance,routing,catalog,identity-okta-duplicate-group-name,Okta Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-oracle-idcs-duplicate-group-name,Oracle Idcs Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-pingidentity-duplicate-group-name,Pingidentity Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-sailpoint-duplicate-group-name,Sailpoint Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-saviynt-duplicate-group-name,Saviynt Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-servicenow-duplicate-group-name,Servicenow Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-workday-duplicate-group-name,Workday Duplicate Group Names,policy,policy,event,medium,active,candidate
access-governance,routing,catalog,identity-zoom-duplicate-group-name,Zoom Duplicate Group Names,policy,policy,event,medium,active,candidate
access-key,routing,catalog,aws-iam-access-key-rotation,IAM Access Key Rotation,policy,policy,event,medium,active,candidate
access-keys,routing,catalog,admin-inactive-keys,Admin user/service account with active access keys that are inactive for over 90 days,policy,policy,event,high,active,candidate
access-keys,routing,catalog,admin-keys-unrotated,Admin user/service account with active access keys were used in the past 90 days but not rotated in the past year,policy,policy,event,high,active,candidate
access-keys,routing,catalog,admin-keys-year-unrotated,Admin user/service account with active access keys unrotated in the past year,policy,policy,event,high,active,candidate
access-keys,routing,catalog,aws-iam-root-no-access-keys,Root Account Access Keys,policy,policy,event,critical,active,candidate
access-keys,routing,catalog,aws-iam-single-access-key,IAM Users Have Single Active Access Key,policy,policy,event,medium,active,candidate
access-keys,routing,catalog,aws-iam-user-multiple-access-keys,IAM User Multiple Access Keys,policy,policy,event,low,active,candidate
access-keys,routing,catalog,data-access-keys-unrotated,User/service account with access to sensitive data and active access keys unrotated in the past year,policy,policy,event,high,active,candidate
access-keys,routing,catalog,privileged-inactive-keys,User/service account with high privileges and active access key that are inactive for over 90 days,policy,policy,event,high,active,candidate
access-keys,routing,catalog,privileged-keys-unrotated,User/service account with high privileges and active access keys that were used in the past 90 days but not rotated in the past year,policy,policy,event,high,active,candidate
access-keys,routing,catalog,user-privileged-access-keys,User account with high privileges has active access keys,policy,policy,event,medium,active,candidate
access-management,routing,catalog,aws-iam-support-role,AWS IAM Support Role Exists,policy,policy,event,low,active,candidate
access-management,routing,catalog,identity-account-deprovision,Terminated User Accounts Deprovisioned,policy,policy,event,critical,active,candidate
access-review,routing,catalog,identity-atlassian-active-no-employee-record,Atlassian Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-auth0-active-no-employee-record,Auth0 Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-auth0-stale-login-180d,Auth0 Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-auth0-stale-login-365d,Auth0 Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-auth0-stale-login-90d,Auth0 Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-break-glass-account-review,Identity Break Glass Account Review,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-cyberark-active-no-employee-record,Cyberark Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-duo-active-no-employee-record,Duo Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-duo-stale-login-180d,Duo Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-duo-stale-login-365d,Duo Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-duo-stale-login-90d,Duo Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-entra-active-no-employee-record,Entra ID Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-entra-risky-active-no-employee-record,Entra Risky Users Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-entra-stale-login-180d,Entra Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-entra-stale-login-365d,Entra ID Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-entra-stale-login-90d,Entra Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-forgerock-active-no-employee-record,ForgeRock Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-github-active-no-employee-record,GitHub Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-gong-active-no-employee-record,Gong Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-google-workspace-active-no-employee-record,Google Workspace Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-google-workspace-stale-login-180d,Google Workspace Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-google-workspace-stale-login-365d,Google Workspace Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-google-workspace-stale-login-90d,Google Workspace Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-jamf-active-no-employee-record,Jamf Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-jumpcloud-active-no-employee-record,JumpCloud Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-kandji-active-no-employee-record,Kandji Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-kolide-active-no-employee-record,Kolide Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-kolide-stale-login-180d,Kolide Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-kolide-stale-login-365d,Kolide Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-kolide-stale-login-90d,Kolide Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-okta-active-no-employee-record,Okta Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-okta-stale-app-assignment-30d,Okta Stale App Assignment (30 days),policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-okta-stale-app-assignment-90d,Okta Stale App Assignment (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-okta-stale-login-180d,Okta Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-okta-stale-login-365d,Okta Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-okta-stale-login-90d,Okta Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-okta-vendor-app-review-overdue,Okta Vendor App Linked to Overdue Vendor Review,policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-onelogin-active-no-employee-record,OneLogin Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-onelogin-stale-login-180d,Onelogin Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-onelogin-stale-login-365d,OneLogin Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-onelogin-stale-login-90d,Onelogin Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-oracle-idcs-active-no-employee-record,Oracle IDCS Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-panther-active-no-employee-record,Panther Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-pingidentity-active-no-employee-record,PingIdentity Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-pingidentity-stale-login-180d,Pingidentity Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-pingidentity-stale-login-365d,PingIdentity Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-pingidentity-stale-login-90d,Pingidentity Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-privileged-access-review-overdue,Identity Privileged Access Review Overdue,policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-ramp-active-no-employee-record,Ramp Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-sailpoint-active-no-employee-record,SailPoint Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-salesforce-active-no-employee-record,Salesforce Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-saviynt-active-no-employee-record,Saviynt Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-servicenow-active-no-employee-record,Servicenow Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-servicenow-stale-login-180d,Servicenow Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-servicenow-stale-login-365d,Servicenow Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-servicenow-stale-login-90d,Servicenow Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-slack-active-no-employee-record,Slack Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-splunk-active-no-employee-record,Splunk Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-stale-accounts-disabled,Stale User Accounts Disabled,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-tailscale-active-no-employee-record,Tailscale Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-tailscale-stale-login-180d,Tailscale Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-tailscale-stale-login-365d,Tailscale Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-tailscale-stale-login-90d,Tailscale Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-vanta-active-no-employee-record,Vanta Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-vanta-stale-login-180d,Vanta Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-vanta-stale-login-365d,Vanta Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-vanta-stale-login-90d,Vanta Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-workday-active-no-employee-record,Workday Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-zoom-active-no-employee-record,Zoom Active Accounts Without Employee Record,policy,policy,event,medium,active,candidate
access-review,routing,catalog,identity-zoom-stale-login-180d,Zoom Stale Active Accounts (180 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-zoom-stale-login-365d,Zoom Stale Active Accounts (365 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,identity-zoom-stale-login-90d,Zoom Stale Active Accounts (90 days),policy,policy,event,high,active,candidate
access-review,routing,catalog,m365-guest-access-review,M365 Guest Users Without Recent Access Review,policy,policy,event,medium,active,candidate
access-review,routing,catalog,m365-inactive-admin,Microsoft 365 Inactive Admin Account,policy,policy,event,medium,active,candidate
access-review,routing,catalog,m365-inactive-users,M365 Inactive User Accounts,policy,policy,event,medium,active,candidate
account,routing,catalog,aws-account-alternate-contact-security,AWS Account Alternate Contact Security,policy,policy,event,medium,active,candidate
account,routing,catalog,aws-account-security-contact-configured,AWS Account Security Contact Configured,policy,policy,event,medium,active,candidate
account-compromise,routing,catalog,identity-okta-user-reported-suspicious-activity-30d,Okta User Reported Suspicious Activity (30 days),policy,policy,event,high,active,candidate
account-hygiene,routing,catalog,identity-atlassian-duplicate-email,Atlassian Duplicate Account Emails,policy,policy,event,high,active,candidate
account-hygiene,routing,catalog,identity-atlassian-missing-email,Atlassian Active Accounts Missing Email,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-atlassian-personal-email-domain,Atlassian Accounts Using Personal Email Domains,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-auth0-duplicate-email,Auth0 Duplicate Account Emails,policy,policy,event,high,active,candidate
account-hygiene,routing,catalog,identity-auth0-missing-email,Auth0 Active Accounts Missing Email,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-auth0-personal-email-domain,Auth0 Accounts Using Personal Email Domains,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-cyberark-duplicate-email,Cyberark Duplicate Account Emails,policy,policy,event,high,active,candidate
account-hygiene,routing,catalog,identity-cyberark-duplicate-username,Cyberark Duplicate Usernames,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-cyberark-missing-email,Cyberark Active Accounts Missing Email,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-cyberark-personal-email-domain,Cyberark Accounts Using Personal Email Domains,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-duo-duplicate-email,Duo Duplicate Account Emails,policy,policy,event,high,active,candidate
account-hygiene,routing,catalog,identity-duo-duplicate-username,Duo Duplicate Usernames,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-duo-missing-email,Duo Active Accounts Missing Email,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-duo-personal-email-domain,Duo Accounts Using Personal Email Domains,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-entra-duplicate-email,Entra Duplicate Account Emails,policy,policy,event,high,active,candidate
account-hygiene,routing,catalog,identity-entra-duplicate-username,Entra ID Duplicate Usernames,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-entra-missing-email,Entra Active Accounts Missing Email,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-entra-personal-email-domain,Entra Accounts Using Personal Email Domains,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-entra-risky-duplicate-email,Entra Risky Duplicate Account Emails,policy,policy,event,high,active,candidate
account-hygiene,routing,catalog,identity-entra-risky-duplicate-username,Entra Risky Users Duplicate Usernames,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-entra-risky-missing-email,Entra Risky Active Accounts Missing Email,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-entra-risky-personal-email-domain,Entra Risky Accounts Using Personal Email Domains,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-forgerock-duplicate-email,Forgerock Duplicate Account Emails,policy,policy,event,high,active,candidate
account-hygiene,routing,catalog,identity-forgerock-duplicate-username,ForgeRock Duplicate Usernames,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-forgerock-missing-email,Forgerock Active Accounts Missing Email,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-forgerock-personal-email-domain,Forgerock Accounts Using Personal Email Domains,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-github-duplicate-email,Github Duplicate Account Emails,policy,policy,event,high,active,candidate
account-hygiene,routing,catalog,identity-github-duplicate-username,GitHub Duplicate Usernames,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-github-missing-email,Github Active Accounts Missing Email,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-github-personal-email-domain,Github Accounts Using Personal Email Domains,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-gong-duplicate-email,Gong Duplicate Account Emails,policy,policy,event,high,active,candidate
account-hygiene,routing,catalog,identity-gong-missing-email,Gong Active Accounts Missing Email,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-gong-personal-email-domain,Gong Accounts Using Personal Email Domains,policy,policy,event,medium,active,candidate
account-hygiene,routing,catalog,identity-google-workspace-duplicate-email,Google Workspace Duplicate Account Emails,policy,policy,event,high,active,candidate
