rule_id,name,domain,path,status,severity,category,resource,resource_type,source_id,evidence_mode,evidence_type,assessment_methods,frameworks,control_refs,control_families,metadata_tags,derived_tags,all_tags,risk_categories,mitre,remediation,risk_statement,remediation_intent,auditor_guidance
ai-data-retention-reviewed,AI Data Retention Reviewed,ai,policies/ai/ai-data-retention-reviewed.yaml,active,medium,ai,ai_datasets,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2; SOC 2 CC7.2,EU AI Act Art. Articles; ISO 42001 A.2 Policies; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; SOC 2 CC3 Risk Assessment; SOC 2 CC7 System Operations,ai; data; data-retention; generated; privacy,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; data; data-retention; evidence:ai_governance; generated; policy; privacy,DATA_EXPOSURE; GOVERNANCE; MODEL_RISK,,"Restore data retention reviewed controls to the approved state, capture owner approval, and retain evidence from the authoritative system.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-embedding-store-encrypted,AI Embedding Store Encrypted,ai,policies/ai/ai-embedding-store-encrypted.yaml,active,medium,ai,ai::embedding_store,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2; SOC 2 CC7.2,EU AI Act Art. Articles; ISO 42001 A.2 Policies; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; SOC 2 CC3 Risk Assessment; SOC 2 CC7 System Operations,ai; embedding; embeddings; encryption; generated,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; embedding; embeddings; encryption; evidence:ai_governance; generated; policy,DATA_EXPOSURE; GOVERNANCE; MODEL_RISK,,"Restore embedding store encrypted controls to the approved state, capture owner approval, and retain evidence from the authoritative system.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-explainability,AI Model Explainability Documentation,ai,policies/ai/ai-explainability.yaml,active,medium,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; ISO 42001 9.4; SOC 2 CC1.4,EU AI Act Art. Articles; ISO 42001 9 Performance Evaluation; SOC 2 CC1 Control Environment,ai; explainability; iso42001; ml; transparency,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; explainability; iso42001; ml; policy; transparency,,,Document how AI models make decisions. Provide explanations appropriate to the model's use case and affected users.,"AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-foundation-model-safety-card-required,AI Foundation Model Safety Card Required,ai,policies/ai/ai-foundation-model-safety-card-required.yaml,active,medium,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2; SOC 2 CC7.2,EU AI Act Art. Articles; ISO 42001 A.2 Policies; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; SOC 2 CC3 Risk Assessment; SOC 2 CC7 System Operations,ai; foundation; foundation-model; generated; safety-card,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; foundation; foundation-model; generated; policy; safety-card,DATA_EXPOSURE; GOVERNANCE; MODEL_RISK,,"Restore foundation model safety card required controls to the approved state, capture owner approval, and retain evidence from the authoritative system.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-genai-secure-development-review,AI Genai Secure Development Review,ai,policies/ai/ai-genai-secure-development-review.yaml,active,medium,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2; SOC 2 CC7.2,EU AI Act Art. Articles; ISO 42001 A.2 Policies; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; SOC 2 CC3 Risk Assessment; SOC 2 CC7 System Operations,ai; genai; generated; secure-development,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; genai; generated; policy; secure-development,DATA_EXPOSURE; GOVERNANCE; MODEL_RISK,,"Restore genai secure development review controls to the approved state, capture owner approval, and retain evidence from the authoritative system.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-high-risk-use-case-registered,AI High Risk Use Case Registered,ai,policies/ai/ai-high-risk-use-case-registered.yaml,active,medium,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2; SOC 2 CC7.2,EU AI Act Art. Articles; ISO 42001 A.2 Policies; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; SOC 2 CC3 Risk Assessment; SOC 2 CC7 System Operations,ai; generated; high; high-risk; inventory,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; generated; high; high-risk; inventory; policy,DATA_EXPOSURE; GOVERNANCE; MODEL_RISK,,"Restore high risk use case registered controls to the approved state, capture owner approval, and retain evidence from the authoritative system.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-human-oversight,AI High-Risk Decisions Human Oversight,ai,policies/ai/ai-human-oversight.yaml,active,high,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001,EU AI Act Art.14; ISO 42001 6.2; ISO 42001 9.1,EU AI Act Art. Articles; ISO 42001 6 Planning; ISO 42001 9 Performance Evaluation,ai; high-risk; human-oversight; iso42001; ml,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; high-risk; human-oversight; iso42001; ml; policy,,,Implement human oversight mechanisms for high-risk AI systems. Enable human review before consequential decisions.,"AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-incident-response,AI Incident Response Plan,ai,policies/ai/ai-incident-response.yaml,active,high,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,ISO 42001; SOC 2,ISO 42001 10.1; ISO 42001 10.2; SOC 2 CC7.4,ISO 42001 10 Improvement; SOC 2 CC7 System Operations,ai; incident-response; iso42001; ml,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; incident-response; iso42001; ml; policy,,,"Create incident response plan for AI systems covering model failures, biased outputs, and security incidents.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-model-evaluation-before-release,AI Model Evaluation Before Release,ai,policies/ai/ai-model-evaluation-before-release.yaml,active,medium,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2; SOC 2 CC7.2,EU AI Act Art. Articles; ISO 42001 A.2 Policies; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; SOC 2 CC3 Risk Assessment; SOC 2 CC7 System Operations,ai; evaluation; generated; model; release,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; evaluation; evidence:ai_governance; generated; model; policy; release,DATA_EXPOSURE; GOVERNANCE; MODEL_RISK,,"Restore model evaluation before release controls to the approved state, capture owner approval, and retain evidence from the authoritative system.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-model-excessive-agency,AI Model with excessive agency,cerebro,policies/cerebro/ai-model-excessive-agency.yaml,active,high,cerebro,ai::model|ai::endpoint,,policy,cel,attack_path_context,examine; test,CIS Controls v8; NIST 800-53 r5; PCI DSS v4.0.1; SOC 2,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2; SOC 2 CC6.2,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; NIST 800-53 r5 AC Access Control; PCI DSS v4.0.1 7 Need-to-Know Access; SOC 2 CC6 Logical and Physical Access,agency; ai; permissions; wiz,assessment:examine; assessment:test; cel; cerebro; evidence:attack_path_context; policy,agency; ai; assessment:examine; assessment:test; cel; cerebro; evidence:attack_path_context; permissions; policy; wiz,,,Reduce model permissions to minimum required. Implement guardrails and output filtering.,"Correlated resource context indicates a control weakness that may increase privilege, exposure, or data-risk impact.","Remediate the underlying resource state, reduce the correlated attack path, and retain graph/evidence context for review.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-model-incident-runbook,AI Model Incident Runbook,ai,policies/ai/ai-model-incident-runbook.yaml,active,medium,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2; SOC 2 CC7.2,EU AI Act Art. Articles; ISO 42001 A.2 Policies; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; SOC 2 CC3 Risk Assessment; SOC 2 CC7 System Operations,ai; generated; incident-response; model; runbook,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; generated; incident-response; model; policy; runbook,DATA_EXPOSURE; GOVERNANCE; MODEL_RISK,,"Restore model incident runbook controls to the approved state, capture owner approval, and retain evidence from the authoritative system.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-model-inventory,AI Model Inventory Maintained,ai,policies/ai/ai-model-inventory.yaml,active,medium,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,ISO 42001; SOC 2,ISO 42001 7.1; ISO 42001 7.2; SOC 2 CC6.1,ISO 42001 7 Support; SOC 2 CC6 Logical and Physical Access,ai; governance; inventory; iso42001; ml,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; governance; inventory; iso42001; ml; policy,,,"Update AI model inventory with all deployed models. Document model purpose, inputs, outputs, and risk assessment.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-model-monitoring,AI Model Performance Monitoring,ai,policies/ai/ai-model-monitoring.yaml,active,medium,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,ISO 42001; SOC 2,ISO 42001 9.1; ISO 42001 9.3; SOC 2 CC7.2,ISO 42001 9 Performance Evaluation; SOC 2 CC7 System Operations,ai; drift; iso42001; ml; monitoring,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; drift; evidence:ai_governance; iso42001; ml; monitoring; policy,,,Enable monitoring and drift detection for all production AI models. Set alerts for performance degradation.,"AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
