framework,control_id,control_ref,control_family,related_framework,related_control_id,related_control_ref,related_control_family,relationship,evidence_use,finding_id,finding_name,pack_id,source_id,evaluation_mode,severity,status,maturity,rationale
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,compliance-background-checks,Background Checks on New Hires,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,compliance-security-training,Security Awareness Training Completed,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-audit-logging,Database Audit Logging Enabled,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-encryption-at-rest,Database Encryption at Rest,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-ssl-connections,Database SSL Connections Enforced,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-access-controls,HIPAA Unique User Identification,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-audit-controls,HIPAA Audit Controls,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-automatic-logoff,HIPAA Automatic Logoff,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-baa-required,HIPAA Business Associate Agreements,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-phi-encryption,PHI Data Encrypted at Rest,policy,policy,event,critical,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-transmission-security,HIPAA Transmission Security,policy,policy,event,critical,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,backup-encryption,Backups Encrypted at Rest,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,backup-retention,Backup Retention Policy Compliance,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,compliance-background-checks,Background Checks on New Hires,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,compliance-security-training,Security Awareness Training Completed,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-audit-logging,Database Audit Logging Enabled,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-encryption-at-rest,Database Encryption at Rest,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-ssl-connections,Database SSL Connections Enforced,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-access-controls,HIPAA Unique User Identification,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-audit-controls,HIPAA Audit Controls,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-automatic-logoff,HIPAA Automatic Logoff,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-baa-required,HIPAA Business Associate Agreements,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-phi-encryption,PHI Data Encrypted at Rest,policy,policy,event,critical,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(e)(1),HIPAA 164.312(e)(1),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-transmission-security,HIPAA Transmission Security,policy,policy,event,critical,active,candidate,Broad technical-safeguard mappings should prompt transmission-security review when protected health information crosses a network boundary.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,aws-iam-no-full-admin,IAM Policies No Full Administrative Privileges,policy,policy,event,critical,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,azure-aks-rbac-enabled,Azure AKS RBAC Enabled,policy,policy,event,high,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,container-privileged,Container Privileged Mode Disabled,policy,policy,event,critical,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,github-actions-artifact-attestation-missing,Github Actions Artifact Attestation Missing,policy,policy,event,medium,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,github-actions-oidc-subject-too-broad,Github Actions Oidc Subject Too Broad,policy,policy,event,medium,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,github-branch-protection-admin,GitHub Branch Protection Enforced for Admins,policy,policy,event,high,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,github-branch-requires-linear-history,Github Branch Requires Linear History,policy,policy,event,medium,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,github-branch-requires-signed-commits,Github Branch Requires Signed Commits,policy,policy,event,medium,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,github-codeowners-missing,Github Codeowners Missing,policy,policy,event,medium,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,github-dependabot-security-updates-disabled,Github Dependabot Security Updates Disabled,policy,policy,event,medium,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,github-repo-webhook-insecure-ssl,Github Repo Webhook Insecure Ssl,policy,policy,event,medium,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,github-ruleset-bypass-unrestricted,Github Ruleset Bypass Unrestricted,policy,policy,event,medium,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
ISO 27001:2022,A.5.15,ISO 27001:2022 A.5.15,ISO 27001:2022 A.5 Organizational Controls,ISO 27001:2022,A.5.17,ISO 27001:2022 A.5.17,ISO 27001:2022 A.5 Organizational Controls,sibling_scope,review_hint,github-ruleset-required,Github Ruleset Required,policy,policy,event,medium,active,candidate,Access-control policy findings should be checked with authentication-information handling before relying on the access packet.
