framework,control_id,control_ref,control_family,control_match_source,mapping_confidence,mapping_rationale,source_coverage_refs,finding_id,name,pack_id,source_id,evaluation_mode,severity,status,maturity
CIS AWS Foundations Benchmark v2.0,1.8,CIS AWS Foundations Benchmark v2.0 1.8,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-password-policy-minimum-length,IAM Password Policy Minimum Length,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,1.9,CIS AWS Foundations Benchmark v2.0 1.9,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-password-policy,IAM Password Policy Requirements,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,1.9,CIS AWS Foundations Benchmark v2.0 1.9,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-password-policy-no-reuse,IAM Password Policy Prevents Reuse,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,2.1.1,CIS AWS Foundations Benchmark v2.0 2.1.1,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-s3-bucket-encryption-enabled,S3 Bucket Encryption Enabled,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,2.1.2,CIS AWS Foundations Benchmark v2.0 2.1.2,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-s3-bucket-ssl-only,S3 Bucket Requires SSL,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,2.1.2,CIS AWS Foundations Benchmark v2.0 2.1.2,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-s3-https-only,S3 Buckets Enforce HTTPS Only,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,2.1.5,CIS AWS Foundations Benchmark v2.0 2.1.5,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-s3-bucket-no-public-access,S3 Bucket Public Access,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,2.1.5,CIS AWS Foundations Benchmark v2.0 2.1.5,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-s3-bucket-policy-public,S3 Bucket Policy Allows Public Access,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,2.2.1,CIS AWS Foundations Benchmark v2.0 2.2.1,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-ebs-encryption-default,EBS Encryption by Default,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,2.2.1,CIS AWS Foundations Benchmark v2.0 2.2.1,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-ec2-ebs-volume-encrypted,EBS Volume Encrypted,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,2.3.1,CIS AWS Foundations Benchmark v2.0 2.3.1,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-rds-encryption-enabled,RDS Encryption Enabled,policy,policy,event,high,active,candidate
CIS AWS Foundations Benchmark v2.0,2.3.1,CIS AWS Foundations Benchmark v2.0 2.3.1,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-redshift-public,Redshift Cluster Publicly Accessible,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,2.3.2,CIS AWS Foundations Benchmark v2.0 2.3.2,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-redshift-no-encryption,AWS Redshift Not Encrypted,policy,policy,event,high,active,candidate
CIS AWS Foundations Benchmark v2.0,2.3.3,CIS AWS Foundations Benchmark v2.0 2.3.3,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-rds-no-public-access,RDS No Public Access,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,2.6,CIS AWS Foundations Benchmark v2.0 2.6,CIS AWS Foundations Benchmark v2.0 2 Storage,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/apigateway_rest_api,aws-apigateway-public,API Gateway Publicly Accessible,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,3.1,CIS AWS Foundations Benchmark v2.0 3.1,CIS AWS Foundations Benchmark v2.0 3 Logging,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-cloudtrail-enabled,CloudTrail Enabled,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,3.10,CIS AWS Foundations Benchmark v2.0 3.10,CIS AWS Foundations Benchmark v2.0 3 Logging,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-cloudtrail-s3-data-events,CloudTrail S3 Data Events Logging,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,3.11,CIS AWS Foundations Benchmark v2.0 3.11,CIS AWS Foundations Benchmark v2.0 3 Logging,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-cloudtrail-s3-data-events,CloudTrail S3 Data Events Logging,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,3.2,CIS AWS Foundations Benchmark v2.0 3.2,CIS AWS Foundations Benchmark v2.0 3 Logging,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/cloudtrail,aws-cloudtrail-log-integrity,CloudTrail Log File Integrity Validation,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,3.5,CIS AWS Foundations Benchmark v2.0 3.5,CIS AWS Foundations Benchmark v2.0 3 Logging,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-config-enabled-all-regions,AWS Config Enabled All Regions,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,3.6,CIS AWS Foundations Benchmark v2.0 3.6,CIS AWS Foundations Benchmark v2.0 3 Logging,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-s3-bucket-logging-enabled,S3 Bucket Logging Enabled,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,3.7,CIS AWS Foundations Benchmark v2.0 3.7,CIS AWS Foundations Benchmark v2.0 3 Logging,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-cloudtrail-kms-encryption,CloudTrail KMS Encryption Enabled,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,3.8,CIS AWS Foundations Benchmark v2.0 3.8,CIS AWS Foundations Benchmark v2.0 3 Logging,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-kms-key-rotation-enabled,KMS Key Rotation Enabled,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,3.9,CIS AWS Foundations Benchmark v2.0 3.9,CIS AWS Foundations Benchmark v2.0 3 Logging,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-vpc-flow-logs-enabled,VPC Flow Logs Enabled,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,4.1,CIS AWS Foundations Benchmark v2.0 4.1,CIS AWS Foundations Benchmark v2.0 4 Monitoring,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-cloudwatch-alarm-missing,CloudTrail Without CloudWatch Alarm,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,4.15,CIS AWS Foundations Benchmark v2.0 4.15,CIS AWS Foundations Benchmark v2.0 4 Monitoring,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-guardduty-disabled,GuardDuty Not Enabled,policy,policy,event,high,active,candidate
CIS AWS Foundations Benchmark v2.0,4.16,CIS AWS Foundations Benchmark v2.0 4.16,CIS AWS Foundations Benchmark v2.0 4 Monitoring,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-security-hub-enabled,AWS Security Hub Enabled,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,5.1,CIS AWS Foundations Benchmark v2.0 5.1,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-nacl-admin-ports-restricted,Network ACLs Restrict Admin Port Access,policy,policy,event,high,active,candidate
CIS AWS Foundations Benchmark v2.0,5.2,CIS AWS Foundations Benchmark v2.0 5.2,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-ec2-public-ip-ssh,EC2 Public IP with SSH Exposed,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,5.2,CIS AWS Foundations Benchmark v2.0 5.2,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-ec2-public-ports-restricted,EC2 Instance Public Ports Restricted,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,5.2,CIS AWS Foundations Benchmark v2.0 5.2,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-ecs-ssh-denied,ECS Services Deny Public SSH Access,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,5.2,CIS AWS Foundations Benchmark v2.0 5.2,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-security-group-restrict-ssh,Security Group SSH Restriction,policy,policy,event,high,active,candidate
CIS AWS Foundations Benchmark v2.0,5.3,CIS AWS Foundations Benchmark v2.0 5.3,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-ec2-public-ip-rdp,EC2 Public IP with RDP Exposed,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,5.3,CIS AWS Foundations Benchmark v2.0 5.3,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-ec2-public-ports-restricted,EC2 Instance Public Ports Restricted,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,5.3,CIS AWS Foundations Benchmark v2.0 5.3,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-security-group-restrict-rdp,Security Group RDP Restriction,policy,policy,event,high,active,candidate
CIS AWS Foundations Benchmark v2.0,5.4,CIS AWS Foundations Benchmark v2.0 5.4,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-default-sg-no-rules,Default Security Group Restricts All Traffic,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,5.4,CIS AWS Foundations Benchmark v2.0 5.4,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-ec2-sg-no-all-traffic-ingress,Security Group No All Traffic Ingress,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,5.6,CIS AWS Foundations Benchmark v2.0 5.6,CIS AWS Foundations Benchmark v2.0 5 Networking,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/ec2_instance,aws-ec2-imdsv2-required,EC2 IMDSv2 Required,policy,policy,event,high,active,candidate
CIS Benchmarks,4.4,CIS Benchmarks 4.4,CIS Benchmarks 4 Compute Hardening,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,gcp-compute-metadata-v1,GCP Instance Metadata v1 Enabled,policy,policy,event,high,active,candidate
CIS Benchmarks,4.8,CIS Benchmarks 4.8,CIS Benchmarks 4 Compute Hardening,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,gcp-compute-shielded-vm,GCP Compute Shielded VM,policy,policy,event,medium,active,candidate
CIS Benchmarks,5.1.1,CIS Benchmarks 5.1.1,CIS Benchmarks 5 Kubernetes Access Control,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,azure/aks_cluster,azure-aks-rbac-enabled,Azure AKS RBAC Enabled,policy,policy,event,high,active,candidate
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-intune-noncompliant,Intune Devices Not Compliant,policy,policy,event,high,active,candidate
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-malware-detection,Malware Detection on Endpoints,policy,policy,event,high,active,candidate
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-mdm-enrolled,Endpoints Enrolled in MDM,policy,policy,event,high,active,candidate
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-password-manager,Password Manager Installed on Endpoints,policy,policy,event,medium,active,candidate
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,kandji/devices,endpoint-kandji-password-manager,Kandji Devices Missing Password Manager,policy,policy,event,medium,active,candidate
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,sentinelone/agents,endpoint-sentinelone-active,SentinelOne Agents Actively Reporting,policy,policy,event,high,active,candidate
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-intune-noncompliant,Intune Devices Not Compliant,policy,policy,event,high,active,candidate
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-kandji-password-manager,Kandji Devices Missing Password Manager,policy,policy,event,medium,active,candidate
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-malware-detection,Malware Detection on Endpoints,policy,policy,event,high,active,candidate
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-mdm-enrolled,Endpoints Enrolled in MDM,policy,policy,event,high,active,candidate
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-password-manager,Password Manager Installed on Endpoints,policy,policy,event,medium,active,candidate
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-sentinelone-active,SentinelOne Agents Actively Reporting,policy,policy,event,high,active,candidate
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,pci-antivirus-enabled,Anti-Malware on Systems in CDE,policy,policy,event,high,active,candidate
CIS Controls v8,10.1,CIS Controls v8 10.1,CIS Controls v8 10 Malware Defenses,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,endpoint-edr-installed,EDR Agent Installed on Endpoints,policy,policy,event,critical,active,candidate
CIS Controls v8,10.1,CIS Controls v8 10.1,CIS Controls v8 10 Malware Defenses,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,endpoint-kandji-edr-installed,Kandji Devices Missing EDR Agent,policy,policy,event,high,active,candidate
CIS Controls v8,10.1,CIS Controls v8 10.1,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,sentinelone-command-control,SentinelOne Command and Control Activity,policy,policy,event,critical,active,candidate
CIS Controls v8,10.1,CIS Controls v8 10.1,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,sentinelone-malware,SentinelOne Active Malware Threat,policy,policy,event,critical,active,candidate
CIS Controls v8,10.2,CIS Controls v8 10.2,CIS Controls v8 10 Malware Defenses,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,endpoint-edr-installed,EDR Agent Installed on Endpoints,policy,policy,event,critical,active,candidate
CIS Controls v8,10.2,CIS Controls v8 10.2,CIS Controls v8 10 Malware Defenses,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,endpoint-kandji-edr-installed,Kandji Devices Missing EDR Agent,policy,policy,event,high,active,candidate
CIS Controls v8,10.2,CIS Controls v8 10.2,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,sentinelone-command-control,SentinelOne Command and Control Activity,policy,policy,event,critical,active,candidate
CIS Controls v8,10.2,CIS Controls v8 10.2,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,sentinelone-malware,SentinelOne Active Malware Threat,policy,policy,event,critical,active,candidate
CIS Controls v8,10.7,CIS Controls v8 10.7,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,endpoint-edr-reporting,EDR Agents Actively Reporting,policy,policy,event,high,active,candidate
CIS Controls v8,10.7,CIS Controls v8 10.7,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,sentinelone-command-control,SentinelOne Command and Control Activity,policy,policy,event,critical,active,candidate
CIS Controls v8,10.7,CIS Controls v8 10.7,CIS Controls v8 10 Malware Defenses,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,sentinelone-malware,SentinelOne Active Malware Threat,policy,policy,event,critical,active,candidate
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-encryption,Backups Encrypted at Rest,policy,policy,event,high,active,candidate
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-offsite,Offsite Backup Storage,policy,policy,event,high,active,candidate
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-retention,Backup Retention Policy Compliance,policy,policy,event,medium,active,candidate
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-rpo-compliance,Recovery Point Objective (RPO) Compliance,policy,policy,event,high,active,candidate
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,backup-testing,Backup Restoration Testing,policy,policy,event,high,active,candidate
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,cert-expiry-30-days,SSL/TLS Certificates Expiring Within 30 Days,policy,policy,event,high,active,candidate
