finding_id,name,pack_id,source_id,evaluation_mode,severity,status,maturity,resolved_audit_domain,audit_language_source,evidence_type,assessment_methods,control_ref_count,source_matched_control_ref_count,source_backed_control_ref_count,control_refs_without_source_match_count,control_refs_without_source_match,source_coverage_ref_count,source_coverage_support_levels,source_coverage_high_value_count,compliance_evidence_status,review_flags
ai-data-retention-reviewed,AI Data Retention Reviewed,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,10,1,1,9,CCPA 1798.105; EU AI Act Art.13; EU AI Act Art.14; GDPR Article 5; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-embedding-store-encrypted,AI Embedding Store Encrypted,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-explainability,AI Model Explainability Documentation,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,3,0,0,3,EU AI Act Art.13; ISO 42001 9.4; SOC 2 CC1.4,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
ai-foundation-model-safety-card-required,AI Foundation Model Safety Card Required,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-genai-secure-development-review,AI Genai Secure Development Review,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-high-risk-use-case-registered,AI High Risk Use Case Registered,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-human-oversight,AI High-Risk Decisions Human Oversight,policy,policy,event,high,active,candidate,ai,catalog,ai_governance,examine; interview; test,3,0,0,3,EU AI Act Art.14; ISO 42001 6.2; ISO 42001 9.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
ai-incident-response,AI Incident Response Plan,policy,policy,event,high,active,candidate,incident_response,catalog,ai_governance,examine; interview; test,3,0,0,3,ISO 42001 10.1; ISO 42001 10.2; SOC 2 CC7.4,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
ai-model-evaluation-before-release,AI Model Evaluation Before Release,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-model-excessive-agency,AI Model with excessive agency,policy,policy,event,high,active,candidate,ai,catalog,attack_path_context,examine; test,6,0,0,6,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2; SOC 2 CC6.2,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
ai-model-incident-runbook,AI Model Incident Runbook,policy,policy,event,medium,active,candidate,incident_response,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-model-inventory,AI Model Inventory Maintained,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,3,0,0,3,ISO 42001 7.1; ISO 42001 7.2; SOC 2 CC6.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
ai-model-monitoring,AI Model Performance Monitoring,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,3,1,1,2,ISO 42001 9.1; ISO 42001 9.3,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-model-monitoring-drift-threshold,AI Model Monitoring Drift Threshold,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-model-rate-limit-cost-guardrail,AI Model Rate Limit Cost Guardrail,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-model-supply-chain-attestation,AI Model Supply Chain Attestation,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-model-third-party-access,3rd party access to AI model in bucket,policy,policy,event,high,active,candidate,ai,catalog,attack_path_context,examine; test,6,0,0,6,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2; SOC 2 CC6.2,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
ai-prompt-injection-test-coverage,AI Prompt Injection Test Coverage,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-rag-source-citation-required,AI Rag Source Citation Required,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-rag-vector-index-access-control,AI Rag Vector Index Access Control,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-risk-assessment,AI Model Risk Assessment Completed,policy,policy,event,high,active,candidate,ai,catalog,ai_governance,examine; interview; test,3,0,0,3,ISO 42001 6.1; ISO 42001 6.2; SOC 2 CC3.2,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
ai-sensitive-output-filtering,AI Sensitive Output Filtering,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-system-owner-assigned,AI System Owner Assigned,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-third-party-model-risk-review,AI Third Party Model Risk Review,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-training-data-provenance,AI Training Data Provenance,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
anthropic-unmanaged-active-api-key,Anthropic Unmanaged Active API Key,anthropic,anthropic,event,high,open,test,secrets,yaml:domain:secrets; yaml:evidence_mode:event,secret_management,examine; test,2,1,1,1,ISO 27001:2022 A.8.2,5,supported,5,partial_source_backed,partial_source_backed_control_refs
api-admin-function-public,API Admin Function Public,policy,policy,event,high,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-cors-wildcard-credentials,API CORS Wildcard Credentials,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-deprecated-version-public,API Deprecated Version Public,policy,policy,event,high,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-endpoint-no-authentication,API Endpoint No Authentication,policy,policy,event,medium,active,candidate,endpoint,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-inventory-owner-missing,API Inventory Owner Missing,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-mtls-required-missing-sensitive-service,API mTLS Required Missing Sensitive Service,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-object-level-authorization-missing,API Object Level Authorization Missing,policy,policy,event,high,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-rate-limit-missing,API Rate Limit Missing,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-refresh-token-rotation-disabled,API Refresh Token Rotation Disabled,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-schema-validation-missing,API Schema Validation Missing,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-sensitive-response-field-exposed,API Sensitive Response Field Exposed,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-shadow-endpoint-detected,API Shadow Endpoint Detected,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-third-party-timeout-missing,API Third Party Timeout Missing,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-third-party-tls-validation-disabled,API Third Party TLS Validation Disabled,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
api-token-ttl-too-long,API Token Ttl Too Long,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,9,0,0,9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
archetype-vulnerability-active,Archetype Active Code Vulnerability,archetype,archetype,event,dynamic,open,test,vulnerability,yaml:domain:vulnerability; yaml:evidence_mode:event,vulnerability_management,examine; test,2,1,1,1,ISO 27001:2022 A.8.8,2,supported,2,partial_source_backed,partial_source_backed_control_refs
aurelius-promoted-vulnerability-active,Aurelius Promoted Image Unresolved High Vulnerability,aurelius,aurelius,event,dynamic,open,test,vulnerability,yaml:domain:vulnerability; yaml:evidence_mode:event,vulnerability_management,examine; test,2,1,1,1,ISO 27001:2022 A.8.8,1,supported,1,partial_source_backed,partial_source_backed_control_refs
aws-access-analyzer-unused-access-finding,AWS Access Analyzer Unused Access Finding,policy,policy,event,medium,active,candidate,aws,catalog,cloud_configuration,examine; test,9,6,6,3,CIS Controls v8 8; NIST 800-53 r5 SI-4; SOC 2 CC8.1,8,supported,8,partial_source_backed,partial_source_backed_control_refs
aws-account-alternate-contact-security,AWS Account Alternate Contact Security,policy,policy,event,medium,active,candidate,aws,catalog,cloud_configuration,examine; test,9,2,2,7,CIS Controls v8 4; CIS Controls v8 6; CIS Controls v8 8; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 SI-4; SOC 2 CC8.1,7,supported,7,partial_source_backed,partial_source_backed_control_refs
aws-account-security-contact-configured,AWS Account Security Contact Configured,policy,policy,event,medium,active,candidate,aws,catalog,cloud_configuration,examine; test,9,2,2,7,CIS Controls v8 4; CIS Controls v8 6; CIS Controls v8 8; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 SI-4; SOC 2 CC8.1,7,supported,7,partial_source_backed,partial_source_backed_control_refs
aws-alb-http-to-https,ALB HTTP to HTTPS Redirect,policy,policy,event,high,active,candidate,aws,catalog,cloud_configuration,examine,9,1,1,8,CIS Controls v8 3; NIST 800-53 r5 SC-12; NIST 800-53 r5 SC-13; NIST 800-53 r5 SC-23; NIST 800-53 r5 SC-28; NIST 800-53 r5 SC-8; PCI DSS v4.0.1 4.2; SOC 2 CC6.7,3,supported,3,partial_source_backed,partial_source_backed_control_refs
aws-alb-no-authentication,AWS ALB No Authentication,policy,policy,event,medium,active,candidate,api,catalog,application_access_control,examine; test,5,0,0,5,CIS Controls v8 6; NIST 800-53 r5 IA-2; NIST 800-53 r5 IA-5; PCI DSS v4.0.1 8.3; PCI DSS v4.0.1 8.4,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
aws-api-gateway-no-authorization,AWS API Gateway No Authorization,policy,policy,event,high,active,candidate,api,catalog,application_access_control,examine; test,13,3,3,10,CIS Controls v8 12; CIS Controls v8 13; CIS Controls v8 6; NIST 800-53 r5 IA-2; NIST 800-53 r5 IA-5; NIST 800-53 r5 SC-7; PCI DSS v4.0.1 1.3; PCI DSS v4.0.1 1.4; PCI DSS v4.0.1 8.3; PCI DSS v4.0.1 8.4,10,supported,10,partial_source_backed,partial_source_backed_control_refs
aws-apigateway-public,API Gateway Publicly Accessible,policy,policy,event,medium,active,candidate,aws,catalog,cloud_configuration,examine; test,8,2,2,6,CIS AWS Foundations Benchmark v2.0 2.6; CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2,8,supported,8,partial_source_backed,partial_source_backed_control_refs
aws-appsync-no-authorization,AWS AppSync No Authorization,policy,policy,event,high,active,candidate,api,catalog,application_access_control,examine; test,5,0,0,5,CIS Controls v8 6; NIST 800-53 r5 IA-2; NIST 800-53 r5 IA-5; PCI DSS v4.0.1 8.3; PCI DSS v4.0.1 8.4,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
aws-backup-vault-encrypted,AWS Backup Vault Encrypted,policy,policy,event,medium,active,candidate,aws,catalog,cloud_configuration,examine; test,9,5,5,4,CIS Controls v8 6; CIS Controls v8 8; NIST 800-53 r5 SI-4; SOC 2 CC8.1,8,supported,8,partial_source_backed,partial_source_backed_control_refs
aws-backup-vault-locked,AWS Backup Vault Locked,policy,policy,event,medium,active,candidate,aws,catalog,cloud_configuration,examine; test,9,5,5,4,CIS Controls v8 6; CIS Controls v8 8; NIST 800-53 r5 SI-4; SOC 2 CC8.1,8,supported,8,partial_source_backed,partial_source_backed_control_refs
aws-bedrock-agent-action-group-approval-required,AWS Bedrock Agent Action Group Approval Required,policy,policy,event,high,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,6,supported,6,partial_source_backed,partial_source_backed_control_refs
aws-bedrock-custom-model-public,AWS Bedrock Custom Model Public Access,policy,policy,event,critical,active,candidate,ai,catalog,ai_governance,examine; interview; test,13,7,7,6,CIS Controls v8 12; CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2,9,supported,9,partial_source_backed,partial_source_backed_control_refs
aws-bedrock-guardrail-content-filter-enabled,AWS Bedrock Guardrail Content Filter Enabled,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,6,supported,6,partial_source_backed,partial_source_backed_control_refs
aws-bedrock-knowledge-base-encrypted,AWS Bedrock Knowledge Base Encrypted,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,6,supported,6,partial_source_backed,partial_source_backed_control_refs
aws-bedrock-model-invocation-logging-enabled,AWS Bedrock Model Invocation Logging Enabled,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,6,supported,6,partial_source_backed,partial_source_backed_control_refs
aws-bedrock-model-no-guardrails,Bedrock Model Without Guardrails,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,7,1,1,6,Cerebro AI Governance AI-4; Cerebro AI Governance AI-5; ISO 42001 6.1; ISO 42001 6.2; ISO 42001 8.4; ISO 42001 9.1,6,supported,6,partial_source_backed,partial_source_backed_control_refs
aws-cloudformation-stack-drift-detected,AWS Cloudformation Stack Drift Detected,policy,policy,event,medium,active,candidate,aws,catalog,cloud_configuration,examine; test,9,2,2,7,CIS Controls v8 4; CIS Controls v8 6; CIS Controls v8 8; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 SI-4; SOC 2 CC8.1,7,supported,7,partial_source_backed,partial_source_backed_control_refs
