framework,framework_id,framework_version,framework_lifecycle,framework_authority,framework_source_type,framework_source_url,framework_source_status,framework_control_model,framework_evidence_model,assessment_notes
CSA CCM v4.0,csa_ccm_v40,v4.0,current,Cloud Security Alliance,cloud_control_matrix,https://cloudsecurityalliance.org/research/cloud-controls-matrix,official_landing,"Cloud control domains for governance, risk, compliance, identity, infrastructure, data, application, interoperability, and assurance programs.","Cloud service scope, shared-responsibility statement, policy, configuration state, identity control, data protection, logging, vulnerability, supplier, and assurance evidence.","Preserve cloud service model, deployment model, tenant boundary, shared-responsibility owner, and mapped CCM domain when asserting coverage."
Cerebro AI Governance,cerebro_ai_governance,internal,active,Writer,internal_control_pack,internal/compliance/control_families.yaml,internal,"Internal AI governance controls for model, data, vendor, risk, and monitoring workflows.","AI inventory, risk assessment, policy, approval, evaluation, monitoring, and exception evidence.",Use as a product operating control pack and map outward to ISO 42001 or the EU AI Act when required.
Cerebro Financial Controls,cerebro_financial_controls,internal,active,Writer,internal_control_pack,internal/compliance/control_families.yaml,internal,Internal finance and revenue operations control pack.,"Approval, reconciliation, access, change, exception, and close-process evidence.",Use as an operating-control layer before external SOX or finance-framework mapping exists.
Cerebro Operational Resilience,cerebro_operational_resilience,internal,active,Writer,internal_control_pack,internal/compliance/control_families.yaml,internal,"Internal continuity, incident, service, vendor, and resilience control pack.","Incident timeline, continuity test, backup, service health, dependency, vendor, and corrective-action evidence.","Map outward to DORA, ISO 22301, SOC 2 availability, or NIST contingency controls where needed."
Cerebro Organizational Resilience,cerebro_organizational_resilience,internal,active,Writer,internal_control_pack,internal/compliance/control_families.yaml,internal,"Internal organizational governance, people, ownership, and accountability control pack.","Owner assignment, policy approval, training, exception, review cadence, role, and governance evidence.",Use for owner and accountability coverage before mapping to formal external clauses.
Cerebro Revenue Operations,cerebro_revenue_operations,internal,active,Writer,internal_control_pack,internal/compliance/control_families.yaml,internal,"Internal revenue operations, customer lifecycle, billing, and support control pack.","Approval, entitlement, billing, support, change, exception, and customer-impact evidence.",Use as an operating control pack and map outward to customer assurance requirements as needed.
DORA,dora,Regulation (EU) 2022/2554,current,European Union,regulation,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,official_regulation,"Digital operational resilience requirements for financial entities, including ICT risk management, incident reporting, resilience testing, third-party risk, and information sharing.","ICT risk register, resilience strategy, incident classification, reporting records, testing program, third-party contract, exit plan, and remediation evidence.","Preserve financial-entity role, ICT service scope, materiality, incident date, testing scope, and third-party dependency when linking evidence to DORA controls."
EU AI Act,eu_ai_act,Regulation (EU) 2024/1689,current,European Union,regulation,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,official_regulation,"Risk-based AI system obligations, governance, documentation, transparency, monitoring, and human oversight.","AI inventory, risk classification, technical documentation, data governance, transparency notice, human oversight, logging, and post-market monitoring evidence.","Evidence must preserve AI system role, risk class, provider/deployer responsibility, and effective date."
FedRAMP Rev. 5,fedramp_rev5,Rev. 5,current,FedRAMP,federal_cloud_authorization_baseline,https://www.fedramp.gov/rev5/documents-templates/,official_document_library,"Federal cloud authorization baselines derived from NIST SP 800-53 Rev. 5 with FedRAMP parameters, templates, and continuous monitoring expectations.","System security plan, control implementation statement, assessment procedure results, POA&M, vulnerability scan, continuous monitoring, authorization boundary, and inherited-control evidence.","Keep FedRAMP authorization package evidence separate from plain NIST 800-53 control evidence because parameters, inheritance, and continuous monitoring obligations differ."
GDPR,gdpr,Regulation (EU) 2016/679,current,European Union,regulation,https://eur-lex.europa.eu/eli/reg/2016/679/oj,official_regulation,"Data protection principles, lawful processing, data subject rights, controller/processor duties, security, and breach requirements.","Records of processing, legal basis, data subject request handling, DPIA, processor agreement, security control, and breach notification evidence.",Article 30 records and Article 32 security evidence should be separated from policy-only assertions.
HIPAA,hipaa,current,current,U.S. Department of Health and Human Services,regulation,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164,official_regulation,"HIPAA Security, Privacy, and Breach Notification requirements for protected health information.","Administrative, physical, and technical safeguard evidence plus policies, risk analysis, access controls, audit controls, and breach procedures.",Keep addressable implementation specifications distinct from required specifications and document rationale for alternatives.
HITRUST e1,hitrust_e1,current,current,HITRUST,assurance_framework,https://hitrustalliance.net/hitrust-csf/,official_landing,Essential cybersecurity control set for HITRUST assurance.,"Control implementation, policy, procedure, sampled operation, and corrective-action evidence.",Keep HITRUST requirement statements and assessment-object evidence traceable to licensed source materials.
ISO 27001:2022,iso270012022,2022,current,ISO/IEC,management_system_standard,https://www.iso.org/standard/27001,official_standard_page,Information security management system requirements with Annex A control references.,"ISMS scope, risk treatment, Statement of Applicability, control operation, monitoring, and management review evidence.",Pair requirement evidence from ISO 27001 with implementation guidance from the ISO 27002 control catalog when available.
ISO 27701,iso27701,2019,withdrawn_replaced_by_2025,ISO/IEC,privacy_information_management_extension,https://www.iso.org/standard/71670.html,official_standard_page,Privacy information management extension to ISO 27001 and ISO 27002.,"PII controller and processor governance, privacy roles, processing records, notices, consent, and data subject request evidence.","Preserve where still contractually referenced, but prefer the current ISO 27701 edition when building new evidence packs."
ISO 27701:2025,iso277012025,2025,current,ISO/IEC,privacy_information_management_standard,https://www.iso.org/standard/27701,official_standard_page,Privacy information management system requirements and guidance.,"PIMS scope, lawful processing, privacy risk treatment, data subject rights, processor management, and privacy control evidence.",Use this as the preferred ISO privacy source for new privacy evidence profiles.
ISO 42001,iso42001,2023,current,ISO/IEC,ai_management_system_standard,https://www.iso.org/standard/42001,official_standard_page,"AI management system requirements for responsible development, deployment, and operation.","AI system inventory, impact assessment, risk treatment, model governance, monitoring, human oversight, and supplier evidence.",Treat AI evidence as management-system evidence plus runtime model and data governance proof.
NIS2,nis2,Directive (EU) 2022/2555,current,European Union,directive,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,official_directive,Cybersecurity risk-management and incident-reporting duties for essential and important entities.,"Governance approval, risk-management measures, incident notification, supply-chain security, business continuity, vulnerability handling, encryption, access control, and training evidence.","Preserve entity class, member-state implementation context, incident reporting clock, and management-body accountability when evaluating evidence."
NIST 800-53 r5,nist80053r5,Rev. 5 Update 1,current,NIST,security_privacy_control_catalog,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,official_publication,Security and privacy controls organized by control family with baselines and overlays.,"Control implementation statements, assessment objectives, examined artifacts, interviews, tests, and inherited control evidence.",Pair with NIST SP 800-53A Rev. 5 assessment procedures when defining exact evidence sufficiency.
NIST AI RMF 1.0,nist_ai_rmf_10,1.0,current_under_revision,NIST,ai_risk_management_framework,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,official_publication,"AI risk management functions organized by Govern, Map, Measure, and Manage for trustworthy AI risk practices.","AI system context, stakeholder impact analysis, risk register, governance decision, evaluation record, monitoring signal, incident response, model change, and residual-risk evidence.","Preserve AI system lifecycle stage, actor role, intended use, affected population, measurement method, and residual-risk decision when evaluating evidence."
NIST CSF 2.0,nist_csf_20,2.0,current,NIST,cybersecurity_framework,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,official_publication,"Outcome-oriented cybersecurity core organized by Govern, Identify, Protect, Detect, Respond, and Recover functions with categories and subcategories.","Current profile, target profile, tier rationale, risk register, governance record, asset inventory, protective control, detection, response, recovery, and improvement evidence.",Treat CSF evidence as outcome and profile evidence; map to prescriptive control frameworks before claiming implementation sufficiency.
NIST SP 800-177,nistsp800177,Rev. 1,current,NIST,email_security_guidance,https://csrc.nist.gov/pubs/sp/800/177/r1/final,official_publication,"Trustworthy email guidance for domain authentication, mail transport security, and message-content security.","Sending domain, DNS mail-authentication records, DNS mail-routing records, related mail-security DNS records, validation timestamp, and remediation evidence.",Use for email-domain authentication and related mail transport evidence; do not treat it as cloud shared-responsibility evidence. Keep message-content protection as separate evidence unless a source supplies it.
PCI DSS v4.0,pcidssv40,v4.0,superseded_by_4_0_1,PCI Security Standards Council,payment_card_data_security_standard,https://www.pcisecuritystandards.org/standards/pci-dss/,official_standard_page,Cardholder data environment requirements and testing procedures.,"CDE scope, network segmentation, secure configuration, vulnerability management, access control, logging, testing, and policy evidence.","Preserve for historical mappings, but prefer PCI DSS v4.0.1 for new evidence work."
PCI DSS v4.0.1,pcidssv401,v4.0.1,current,PCI Security Standards Council,payment_card_data_security_standard,https://www.pcisecuritystandards.org/standards/pci-dss/,official_standard_page,Cardholder data environment requirements and testing procedures.,"CDE scope, network segmentation, secure configuration, vulnerability management, access control, logging, testing, and policy evidence.",Keep requirement and testing procedure evidence distinct; testing evidence usually needs sampled systems and dates.
PCI SAQ D-SP,pcisaq_dsp,current,current,PCI Security Standards Council,self_assessment_questionnaire,https://www.pcisecuritystandards.org/document_library/,official_document_library,Service-provider self-assessment questionnaire aligned to PCI DSS requirements.,"Attestation responses, requirement evidence, service provider scope, compensating controls, and management sign-off.",Treat SAQ rows as attestation evidence linked to PCI DSS requirement evidence.
SOC 2,soc2,Trust Services Criteria 2022,current,AICPA,trust_services_criteria,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,official_landing,Trust services criteria and points of focus for service organization controls.,"Control design and operating effectiveness evidence across security, availability, confidentiality, processing integrity, and privacy criteria.","Use inquiry, observation, inspection, and reperformance evidence matched to the asserted trust service criterion."
US Data Privacy,us_data_privacy,composite,composite,Internal crosswalk,composite_privacy_crosswalk,internal/compliance/control_families.yaml,internal_crosswalk,Internal grouping for U.S. state privacy obligations.,"Consumer rights, disclosure inventory, opt-out, retention, purpose limitation, and processor/vendor evidence.",Use jurisdiction-specific statute rows before claiming legal conformance.
