scope_type,scope,evidence_type,assessment_methods,auditor_guidance,risk_statement,remediation_intent,false_positives
domain,grc,governance_risk_compliance,examine; interview,,"Governance, risk, compliance, or control-owner evidence may be incomplete for the assessment period.","Update the control record, owner, test, review, or linked evidence and retain approval or exception details.",
domain,hipaa,regulated_data_control,examine; interview,,Regulated data safeguards or administrative evidence may be incomplete for the assessment period.,"Restore the safeguard, attach supporting evidence, and document ownership and exception status.",
domain,hubspot,revenue_process_control,examine; interview,,"Customer, renewal, or revenue-process evidence may indicate an unmanaged operational control gap.","Update the customer record, owner workflow, approval, or next action and retain evidence of review.",
domain,identity,identity_governance,,,"Identity lifecycle, access, authentication, or entitlement controls may not be operating effectively.","Correct the identity or entitlement state, revoke inappropriate access, and retain access-review or system evidence.",
domain,incident_response,incident_response_control,examine; interview; test,,"Incident response, escalation, or case-handling evidence may not show timely triage, containment, or owner follow-up.","Complete triage or escalation, document containment or case closure, and retain incident evidence.",
domain,integration,integration_control,examine; test,,"Source integration, workflow, or coordination evidence may not show that the control signal is complete and actionable.","Restore the integration or workflow state, validate the signal path, and retain test evidence.",
domain,kubernetes,workload_configuration,,,"Kubernetes workload, network, or RBAC configuration may not satisfy workload security controls.","Update manifests or cluster configuration, validate the effective state, and retain deployment evidence.",
domain,m365,collaboration_control,,,"Collaboration, sharing, DLP, or mailbox controls may not provide sufficient data-protection evidence.",Update tenant policy or sharing state and retain admin-center evidence.,
domain,network,network_configuration,,,"Network exposure, segmentation, or traffic-control evidence may not satisfy security requirements.","Restrict network access, validate effective reachability, and retain configuration evidence.",
domain,okta,identity_governance,,,"Identity policy, authentication, or session controls may not be operating effectively.","Update Okta policy or user state, validate the effective policy assignment, and retain admin evidence.",
domain,org,organizational_process,examine; interview,,"Organizational ownership, dependency, or customer-health controls may lack sufficient operating evidence.","Assign ownership, complete the operational review, and retain approval or workflow evidence.",
domain,pci,cardholder_data_control,,,Cardholder-data environment safeguards may not have sufficient evidence for the assessment period.,"Restore the required safeguard, validate CDE scope, and retain remediation evidence.",
domain,privacy,privacy_request,examine; interview; test,,"Privacy request, consent, notice, or processing-inventory evidence may be incomplete for the assessment period.","Update the privacy workflow, consent record, notice evidence, or processing inventory and retain owner review evidence.",
domain,runtime,runtime_threat_signal,,,"Runtime threat evidence may indicate active compromise, malware, abuse, or policy bypass.","Triage the runtime signal, contain affected assets, remediate the root cause, and retain incident evidence.",
domain,salesforce,revenue_process_control,examine; interview,,Customer or opportunity management evidence may indicate an unmanaged business control gap.,"Update the opportunity or account record, confirm owner action, and retain review evidence.",
domain,secrets,secret_management,,,"Secret storage, exposure, or rotation evidence may not satisfy credential-protection controls.","Remove exposed secrets, rotate credentials, update storage controls, and retain rotation evidence.",
domain,sentinelone,endpoint_detection_response,,,"Endpoint detection, protection, or response controls may not be operating effectively.","Triage the threat or agent state, restore protection controls, and retain SentinelOne evidence.",
domain,stripe,billing_process_control,examine; interview,,"Billing, payment, refund, or approval evidence may indicate an unmanaged financial process control gap.","Review the billing record, complete approval or customer action, and retain evidence.",
domain,telemetry,observability_control,,,"Telemetry, logging, or monitoring evidence may be incomplete for detecting control failures.","Restore telemetry collection, validate signal quality, and retain monitoring evidence.",
domain,vendor,third_party_risk,examine; interview,,Third-party risk review or vendor ownership evidence may be missing or overdue.,"Complete the vendor review, update ownership, and retain assessment evidence.",
domain,vulnerability,vulnerability_management,,,"Vulnerability detection, prioritization, or remediation evidence may not satisfy risk-management expectations.","Patch, mitigate, or accept the vulnerability with documented risk approval and retain validation evidence.",
domain,zendesk,support_process_control,examine; interview,,Support SLA or customer-response evidence may indicate an unmanaged operational control gap.,"Update the ticket, complete customer action, and retain SLA review evidence.",
