framework,area_id,area_name,evidence_use,area_control_refs,matched_control_refs,finding_id,finding_name,pack_id,source_id,evaluation_mode,severity,status,maturity,purpose
CCPA,privacy-security-breach,Privacy security and breach,review_group,CCPA 1798.100; CCPA 1798.130; CCPA 1798.150,CCPA 1798.100,data-inventory-processing-activity-legal-basis-missing,Processing Activity Legal Basis Missing,policy,policy,event,high,active,candidate,"Review whether personal-information security findings, breach liability evidence, notices, and remediation records are tied to affected systems and consumers."
CCPA,privacy-security-breach,Privacy security and breach,review_group,CCPA 1798.100; CCPA 1798.130; CCPA 1798.150,CCPA 1798.100,data-inventory-processing-activity-retention-missing,Processing Activity Retention Missing,policy,policy,event,medium,active,candidate,"Review whether personal-information security findings, breach liability evidence, notices, and remediation records are tied to affected systems and consumers."
CCPA,privacy-security-breach,Privacy security and breach,review_group,CCPA 1798.100; CCPA 1798.130; CCPA 1798.150,CCPA 1798.100; CCPA 1798.130,compliance-data-inventory-maintained,Data Inventory Maintained,policy,policy,event,medium,active,candidate,"Review whether personal-information security findings, breach liability evidence, notices, and remediation records are tied to affected systems and consumers."
CCPA,privacy-security-breach,Privacy security and breach,review_group,CCPA 1798.100; CCPA 1798.130; CCPA 1798.150,CCPA 1798.100; CCPA 1798.130,consent-preference-platform-notice-version-missing,Consent Notice Version Missing,policy,policy,event,medium,active,candidate,"Review whether personal-information security findings, breach liability evidence, notices, and remediation records are tied to affected systems and consumers."
CCPA,privacy-security-breach,Privacy security and breach,review_group,CCPA 1798.100; CCPA 1798.130; CCPA 1798.150,CCPA 1798.130,privacy-request-system-denial-rationale-missing,Privacy Request Denial Rationale Missing,policy,policy,event,medium,active,candidate,"Review whether personal-information security findings, breach liability evidence, notices, and remediation records are tied to affected systems and consumers."
CCPA,privacy-security-breach,Privacy security and breach,review_group,CCPA 1798.100; CCPA 1798.130; CCPA 1798.150,CCPA 1798.130,privacy-request-system-rights-request-overdue,Privacy Rights Request Overdue,policy,policy,event,high,active,candidate,"Review whether personal-information security findings, breach liability evidence, notices, and remediation records are tied to affected systems and consumers."
CCPA,privacy-security-breach,Privacy security and breach,review_group,CCPA 1798.100; CCPA 1798.130; CCPA 1798.150,CCPA 1798.130,privacy-request-system-verification-missing,Privacy Request Verification Missing,policy,policy,event,high,active,candidate,"Review whether personal-information security findings, breach liability evidence, notices, and remediation records are tied to affected systems and consumers."
CCPA,privacy-security-breach,Privacy security and breach,review_group,CCPA 1798.100; CCPA 1798.130; CCPA 1798.150,CCPA 1798.150,compliance-ir-gdpr-addendum,Incident Response Plan GDPR Addendum,policy,policy,event,high,active,candidate,"Review whether personal-information security findings, breach liability evidence, notices, and remediation records are tied to affected systems and consumers."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13,ai-explainability,AI Model Explainability Documentation,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-agent-human-approval-destructive-actions,AI Agent Human Approval Destructive Actions,policy,policy,event,high,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-agent-secret-redaction,AI Agent Secret Redaction,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-agent-tool-allowlist-required,AI Agent Tool Allowlist Required,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-data-retention-reviewed,AI Data Retention Reviewed,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-embedding-store-encrypted,AI Embedding Store Encrypted,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-foundation-model-safety-card-required,AI Foundation Model Safety Card Required,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-genai-secure-development-review,AI Genai Secure Development Review,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-high-risk-use-case-registered,AI High Risk Use Case Registered,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-model-evaluation-before-release,AI Model Evaluation Before Release,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-model-incident-runbook,AI Model Incident Runbook,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-model-monitoring-drift-threshold,AI Model Monitoring Drift Threshold,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-model-rate-limit-cost-guardrail,AI Model Rate Limit Cost Guardrail,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-model-supply-chain-attestation,AI Model Supply Chain Attestation,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-prompt-injection-test-coverage,AI Prompt Injection Test Coverage,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-rag-source-citation-required,AI Rag Source Citation Required,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-rag-vector-index-access-control,AI Rag Vector Index Access Control,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-sensitive-output-filtering,AI Sensitive Output Filtering,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-system-owner-assigned,AI System Owner Assigned,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-third-party-model-risk-review,AI Third Party Model Risk Review,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,ai-training-data-provenance,AI Training Data Provenance,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,aws-bedrock-agent-action-group-approval-required,AWS Bedrock Agent Action Group Approval Required,policy,policy,event,high,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,aws-bedrock-guardrail-content-filter-enabled,AWS Bedrock Guardrail Content Filter Enabled,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,aws-bedrock-knowledge-base-encrypted,AWS Bedrock Knowledge Base Encrypted,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,aws-bedrock-model-invocation-logging-enabled,AWS Bedrock Model Invocation Logging Enabled,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,aws-sagemaker-endpoint-network-isolated,AWS Sagemaker Endpoint Network Isolated,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,aws-sagemaker-notebook-no-direct-internet,AWS Sagemaker Notebook No Direct Internet,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,azure-openai-content-filter-enabled,Azure Openai Content Filter Enabled,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,azure-openai-private-endpoint,Azure Openai Private Endpoint,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,gcp-vertex-dataset-cmek,GCP Vertex Dataset Cmek,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.13; EU AI Act Art.14,gcp-vertex-model-endpoint-private,GCP Vertex Model Endpoint Private,policy,policy,event,medium,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art.14,ai-human-oversight,AI High-Risk Decisions Human Oversight,policy,policy,event,high,active,candidate,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
GDPR,data-subject-rights,Data subject rights,review_group,GDPR Article 12; GDPR Article 15; GDPR Article 16; GDPR Article 17; GDPR Article 18; GDPR Article 20; GDPR Article 21; GDPR Article 22,GDPR Article 12; GDPR Article 15; GDPR Article 16; GDPR Article 17; GDPR Article 18; GDPR Article 20; GDPR Article 21,privacy-request-system-denial-rationale-missing,Privacy Request Denial Rationale Missing,policy,policy,event,medium,active,candidate,"Review whether access, rectification, erasure, restriction, portability, objection, and automated-decision requests have intake, verification, response, and exception evidence."
GDPR,data-subject-rights,Data subject rights,review_group,GDPR Article 12; GDPR Article 15; GDPR Article 16; GDPR Article 17; GDPR Article 18; GDPR Article 20; GDPR Article 21; GDPR Article 22,GDPR Article 12; GDPR Article 15; GDPR Article 16; GDPR Article 17; GDPR Article 18; GDPR Article 20; GDPR Article 21,privacy-request-system-rights-request-overdue,Privacy Rights Request Overdue,policy,policy,event,high,active,candidate,"Review whether access, rectification, erasure, restriction, portability, objection, and automated-decision requests have intake, verification, response, and exception evidence."
GDPR,data-subject-rights,Data subject rights,review_group,GDPR Article 12; GDPR Article 15; GDPR Article 16; GDPR Article 17; GDPR Article 18; GDPR Article 20; GDPR Article 21; GDPR Article 22,GDPR Article 12; GDPR Article 15; GDPR Article 16; GDPR Article 17; GDPR Article 20,privacy-request-system-verification-missing,Privacy Request Verification Missing,policy,policy,event,high,active,candidate,"Review whether access, rectification, erasure, restriction, portability, objection, and automated-decision requests have intake, verification, response, and exception evidence."
GDPR,data-subject-rights,Data subject rights,review_group,GDPR Article 12; GDPR Article 15; GDPR Article 16; GDPR Article 17; GDPR Article 18; GDPR Article 20; GDPR Article 21; GDPR Article 22,GDPR Article 21,consent-preference-platform-opt-out-not-enforced,Sale or Sharing Opt-Out Not Enforced,policy,policy,event,high,active,candidate,"Review whether access, rectification, erasure, restriction, portability, objection, and automated-decision requests have intake, verification, response, and exception evidence."
GDPR,processing-accountability,Processing accountability,review_group,GDPR Article 24; GDPR Article 28; GDPR Article 30; GDPR Article 35; GDPR Article 5,GDPR Article 24; GDPR Article 30; GDPR Article 5,compliance-gdpr-policy,GDPR Compliance Policy Exists,policy,policy,event,high,active,candidate,"Review whether processing records, privacy ownership, processor oversight, and core data-protection principles have current evidence."
GDPR,processing-accountability,Processing accountability,review_group,GDPR Article 24; GDPR Article 28; GDPR Article 30; GDPR Article 35; GDPR Article 5,GDPR Article 24; GDPR Article 30; GDPR Article 5,compliance-ir-gdpr-addendum,Incident Response Plan GDPR Addendum,policy,policy,event,high,active,candidate,"Review whether processing records, privacy ownership, processor oversight, and core data-protection principles have current evidence."
GDPR,processing-accountability,Processing accountability,review_group,GDPR Article 24; GDPR Article 28; GDPR Article 30; GDPR Article 35; GDPR Article 5,GDPR Article 28,vendor-dpa-exists,Vendor Data Processing Agreement Exists,policy,policy,event,high,active,candidate,"Review whether processing records, privacy ownership, processor oversight, and core data-protection principles have current evidence."
