framework,control_id,control_ref,control_family,coverage_status,coverage_lane,gap_type,direct_finding_count,source_backed_finding_count,source_matched_finding_count,source_capability_count,review_context_count,next_action
cerebrofinancialcontrols,FIN-2,cerebrofinancialcontrols FIN-2,Cerebro Financial Controls FIN Financial Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebrofinancialcontrols,FIN-3,cerebrofinancialcontrols FIN-3,Cerebro Financial Controls FIN Financial Controls,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebrooperationalresilience,OPS-1,cerebrooperationalresilience OPS-1,Cerebro Operational Resilience OPS Operational Resilience Controls,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
cerebrooperationalresilience,OPS-2,cerebrooperationalresilience OPS-2,Cerebro Operational Resilience OPS Operational Resilience Controls,direct_control_only,direct,missing_source_backing,7,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebrooperationalresilience,OPS-3,cerebrooperationalresilience OPS-3,Cerebro Operational Resilience OPS Operational Resilience Controls,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
cerebroorganizationalresilience,ORG-1,cerebroorganizationalresilience ORG-1,Cerebro Organizational Resilience ORG Organizational Resilience Controls,direct_control_only,direct,missing_source_backing,3,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebroorganizationalresilience,ORG-2,cerebroorganizationalresilience ORG-2,Cerebro Organizational Resilience ORG Organizational Resilience Controls,direct_control_only,direct,missing_source_backing,4,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebroorganizationalresilience,ORG-3,cerebroorganizationalresilience ORG-3,Cerebro Organizational Resilience ORG Organizational Resilience Controls,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebroorganizationalresilience,ORG-4,cerebroorganizationalresilience ORG-4,Cerebro Organizational Resilience ORG Organizational Resilience Controls,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebrorevenueoperations,REV-1,cerebrorevenueoperations REV-1,Cerebro Revenue Operations REV Revenue Operations Controls,direct_control_only,direct,missing_source_backing,3,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebrorevenueoperations,REV-2,cerebrorevenueoperations REV-2,Cerebro Revenue Operations REV Revenue Operations Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebrorevenueoperations,REV-3,cerebrorevenueoperations REV-3,Cerebro Revenue Operations REV Revenue Operations Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebrorevenueoperations,REV-4,cerebrorevenueoperations REV-4,Cerebro Revenue Operations REV Revenue Operations Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebrorevenueoperations,REV-5,cerebrorevenueoperations REV-5,Cerebro Revenue Operations REV Revenue Operations Controls,direct_control_only,direct,missing_source_backing,6,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebrorevenueoperations,REV-6,cerebrorevenueoperations REV-6,Cerebro Revenue Operations REV Revenue Operations Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisa,1.1,cisa 1.1,CISA CISA CISA Requirements,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
cisawsfoundationsbenchmarkv20,1.10,cisawsfoundationsbenchmarkv20 1.10,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.12,cisawsfoundationsbenchmarkv20 1.12,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.13,cisawsfoundationsbenchmarkv20 1.13,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.14,cisawsfoundationsbenchmarkv20 1.14,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.15,cisawsfoundationsbenchmarkv20 1.15,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.16,cisawsfoundationsbenchmarkv20 1.16,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.19,cisawsfoundationsbenchmarkv20 1.19,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.20,cisawsfoundationsbenchmarkv20 1.20,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.21,cisawsfoundationsbenchmarkv20 1.21,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.4,cisawsfoundationsbenchmarkv20 1.4,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.5,cisawsfoundationsbenchmarkv20 1.5,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.8,cisawsfoundationsbenchmarkv20 1.8,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,1.9,cisawsfoundationsbenchmarkv20 1.9,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,2.1.1,cisawsfoundationsbenchmarkv20 2.1.1,CIS AWS Foundations Benchmark v2.0 2 Storage,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,2.1.2,cisawsfoundationsbenchmarkv20 2.1.2,CIS AWS Foundations Benchmark v2.0 2 Storage,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,2.1.5,cisawsfoundationsbenchmarkv20 2.1.5,CIS AWS Foundations Benchmark v2.0 2 Storage,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,2.2.1,cisawsfoundationsbenchmarkv20 2.2.1,CIS AWS Foundations Benchmark v2.0 2 Storage,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,2.3.1,cisawsfoundationsbenchmarkv20 2.3.1,CIS AWS Foundations Benchmark v2.0 2 Storage,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,2.3.2,cisawsfoundationsbenchmarkv20 2.3.2,CIS AWS Foundations Benchmark v2.0 2 Storage,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,2.3.3,cisawsfoundationsbenchmarkv20 2.3.3,CIS AWS Foundations Benchmark v2.0 2 Storage,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,2.6,cisawsfoundationsbenchmarkv20 2.6,CIS AWS Foundations Benchmark v2.0 2 Storage,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,3.1,cisawsfoundationsbenchmarkv20 3.1,CIS AWS Foundations Benchmark v2.0 3 Logging,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,3.10,cisawsfoundationsbenchmarkv20 3.10,CIS AWS Foundations Benchmark v2.0 3 Logging,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,3.11,cisawsfoundationsbenchmarkv20 3.11,CIS AWS Foundations Benchmark v2.0 3 Logging,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,3.2,cisawsfoundationsbenchmarkv20 3.2,CIS AWS Foundations Benchmark v2.0 3 Logging,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,3.5,cisawsfoundationsbenchmarkv20 3.5,CIS AWS Foundations Benchmark v2.0 3 Logging,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,3.6,cisawsfoundationsbenchmarkv20 3.6,CIS AWS Foundations Benchmark v2.0 3 Logging,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,3.7,cisawsfoundationsbenchmarkv20 3.7,CIS AWS Foundations Benchmark v2.0 3 Logging,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,3.8,cisawsfoundationsbenchmarkv20 3.8,CIS AWS Foundations Benchmark v2.0 3 Logging,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,3.9,cisawsfoundationsbenchmarkv20 3.9,CIS AWS Foundations Benchmark v2.0 3 Logging,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,4.1,cisawsfoundationsbenchmarkv20 4.1,CIS AWS Foundations Benchmark v2.0 4 Monitoring,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,4.15,cisawsfoundationsbenchmarkv20 4.15,CIS AWS Foundations Benchmark v2.0 4 Monitoring,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,4.16,cisawsfoundationsbenchmarkv20 4.16,CIS AWS Foundations Benchmark v2.0 4 Monitoring,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,5.1,cisawsfoundationsbenchmarkv20 5.1,CIS AWS Foundations Benchmark v2.0 5 Networking,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,5.2,cisawsfoundationsbenchmarkv20 5.2,CIS AWS Foundations Benchmark v2.0 5 Networking,direct_control_only,direct,missing_source_backing,4,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,5.3,cisawsfoundationsbenchmarkv20 5.3,CIS AWS Foundations Benchmark v2.0 5 Networking,direct_control_only,direct,missing_source_backing,3,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,5.4,cisawsfoundationsbenchmarkv20 5.4,CIS AWS Foundations Benchmark v2.0 5 Networking,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisawsfoundationsbenchmarkv20,5.6,cisawsfoundationsbenchmarkv20 5.6,CIS AWS Foundations Benchmark v2.0 5 Networking,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisbenchmarks,1.1,cisbenchmarks 1.1,CIS Benchmarks 1 Identity and Access Management,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
cisbenchmarks,4.4,cisbenchmarks 4.4,CIS Benchmarks 4 Compute Hardening,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisbenchmarks,4.8,cisbenchmarks 4.8,CIS Benchmarks 4 Compute Hardening,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisbenchmarks,5.1.1,cisbenchmarks 5.1.1,CIS Benchmarks 5 Kubernetes Access Control,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,1,ciscontrolsv8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,direct_source_backed,direct,none,6,2,2,0,0,Maintain evidence collection and sampling.
ciscontrolsv8,10,ciscontrolsv8 10,CIS Controls v8 10 Malware Defenses,direct_control_only,direct,missing_source_backing,7,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,10.1,ciscontrolsv8 10.1,CIS Controls v8 10 Malware Defenses,direct_control_only,direct,missing_source_backing,4,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,10.2,ciscontrolsv8 10.2,CIS Controls v8 10 Malware Defenses,direct_control_only,direct,missing_source_backing,4,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,10.7,ciscontrolsv8 10.7,CIS Controls v8 10 Malware Defenses,direct_control_only,direct,missing_source_backing,3,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,11,ciscontrolsv8 11,CIS Controls v8 11 Data Recovery,direct_control_only,direct,missing_source_backing,15,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,12,ciscontrolsv8 12,CIS Controls v8 12 Network Infrastructure Management,direct_control_only,direct,missing_source_backing,132,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,13,ciscontrolsv8 13,CIS Controls v8 13 Network Monitoring and Defense,direct_source_backed,direct,none,128,9,9,0,0,Maintain evidence collection and sampling.
ciscontrolsv8,14,ciscontrolsv8 14,CIS Controls v8 14 Security Awareness and Skills Training,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,15,ciscontrolsv8 15,CIS Controls v8 15 Service Provider Management,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ciscontrolsv8,16,ciscontrolsv8 16,CIS Controls v8 16 Application Software Security,direct_source_backed,direct,none,10,2,2,0,0,Maintain evidence collection and sampling.
ciscontrolsv8,17,ciscontrolsv8 17,CIS Controls v8 17 Incident Response Management,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ciscontrolsv8,18,ciscontrolsv8 18,CIS Controls v8 18 Penetration Testing,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ciscontrolsv8,2,ciscontrolsv8 2,CIS Controls v8 2 Inventory and Control of Software Assets,direct_source_backed,direct,none,7,3,3,0,0,Maintain evidence collection and sampling.
ciscontrolsv8,3,ciscontrolsv8 3,CIS Controls v8 3 Data Protection,direct_source_backed,direct,none,50,4,4,0,0,Maintain evidence collection and sampling.
ciscontrolsv8,3.6,ciscontrolsv8 3.6,CIS Controls v8 3 Data Protection,direct_control_only,direct,missing_source_backing,4,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,4,ciscontrolsv8 4,CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software,direct_source_backed,direct,none,75,48,48,0,0,Maintain evidence collection and sampling.
ciscontrolsv8,4.3,ciscontrolsv8 4.3,CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,5,ciscontrolsv8 5,CIS Controls v8 5 Account Management,direct_source_backed,direct,none,211,21,21,0,0,Maintain evidence collection and sampling.
ciscontrolsv8,5.3,ciscontrolsv8 5.3,CIS Controls v8 5 Account Management,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,6,ciscontrolsv8 6,CIS Controls v8 6 Access Control Management,direct_source_backed,direct,none,307,24,24,0,0,Maintain evidence collection and sampling.
ciscontrolsv8,6.3,ciscontrolsv8 6.3,CIS Controls v8 6 Access Control Management,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,6.4,ciscontrolsv8 6.4,CIS Controls v8 6 Access Control Management,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciscontrolsv8,7,ciscontrolsv8 7,CIS Controls v8 7 Continuous Vulnerability Management,direct_source_backed,direct,none,58,3,3,0,0,Maintain evidence collection and sampling.
ciscontrolsv8,8,ciscontrolsv8 8,CIS Controls v8 8 Audit Log Management,direct_source_backed,direct,none,109,34,34,0,0,Maintain evidence collection and sampling.
ciscontrolsv8,9,ciscontrolsv8 9,CIS Controls v8 9 Email and Web Browser Protections,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ciseksbenchmarkv13,5.4.1,ciseksbenchmarkv13 5.4.1,CIS EKS Benchmark v1.3 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgithubbenchmark,1.1.3,cisgithubbenchmark 1.1.3,CIS GitHub Benchmark 1 1 Controls,direct_control_only,direct,missing_source_backing,2,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgithubbenchmark,1.3.1,cisgithubbenchmark 1.3.1,CIS GitHub Benchmark 1 1 Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgkebenchmarkv14,5.1.1,cisgkebenchmarkv14 5.1.1,CIS GKE Benchmark v1.4 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgkebenchmarkv14,5.2.1,cisgkebenchmarkv14 5.2.1,CIS GKE Benchmark v1.4 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgkebenchmarkv14,5.3.1,cisgkebenchmarkv14 5.3.1,CIS GKE Benchmark v1.4 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgkebenchmarkv14,5.5.1,cisgkebenchmarkv14 5.5.1,CIS GKE Benchmark v1.4 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgkebenchmarkv14,5.5.2,cisgkebenchmarkv14 5.5.2,CIS GKE Benchmark v1.4 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgkebenchmarkv14,5.5.3,cisgkebenchmarkv14 5.5.3,CIS GKE Benchmark v1.4 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgkebenchmarkv14,5.5.4,cisgkebenchmarkv14 5.5.4,CIS GKE Benchmark v1.4 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgkebenchmarkv14,5.6.1,cisgkebenchmarkv14 5.6.1,CIS GKE Benchmark v1.4 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgkebenchmarkv14,5.6.3,cisgkebenchmarkv14 5.6.3,CIS GKE Benchmark v1.4 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cisgoogleworkspacebenchmark,1.1,cisgoogleworkspacebenchmark 1.1,CIS Google Workspace Benchmark 1 1 Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.1.1,ciskubernetesbenchmark 5.1.1,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,28,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.1.3,ciskubernetesbenchmark 5.1.3,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,9,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.1.4,ciskubernetesbenchmark 5.1.4,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,8,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.1.6,ciskubernetesbenchmark 5.1.6,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.2.1,ciskubernetesbenchmark 5.2.1,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,26,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.2.2,ciskubernetesbenchmark 5.2.2,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,6,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.2.3,ciskubernetesbenchmark 5.2.3,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,5,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.2.4,ciskubernetesbenchmark 5.2.4,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,7,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.2.5,ciskubernetesbenchmark 5.2.5,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,25,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.2.6,ciskubernetesbenchmark 5.2.6,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,6,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.2.7,ciskubernetesbenchmark 5.2.7,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,6,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.2.8,ciskubernetesbenchmark 5.2.8,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,5,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ciskubernetesbenchmark,5.3.2,ciskubernetesbenchmark 5.3.2,CIS Kubernetes Benchmark 5 Policies,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cjissecuritypolicy,5.1.1,cjissecuritypolicy 5.1.1,CJIS Security Policy PA-1 Information Exchange Agreements,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
