framework,control_id,control_ref,control_family,coverage_status,gap_type,candidate_priority,candidate_type,claim_status,suggested_finding_domain,suggested_evidence_type,claim_rule_ids,claim_strengths,sufficiency_rules,coverage_claims,requirement_profiles,requirement_sources,source_capability_refs,review_context_refs,overclaim_guards,adjacent_control_rationales,next_action,framework_version,framework_lifecycle,framework_authority,framework_source_type,framework_source_status,framework_source_url,framework_evidence_model
CCPA,1798.150,CCPA 1798.150,CCPA 1798 Consumer Privacy Rights,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,privacy,privacy_request,privacy-rights-operating-evidence,rights_or_safeguard_backed,legal_basis_scope_request_or_safeguard,supports_privacy_obligation,data-protection; privacy-rights,aws; breach_response_system; consent_preference_platform; data_inventory; github; privacy_request_system,ai_control_runtime/ai_runtime_control_states [supported]; anthropic/rate_limits [supported]; aws/account_contact [supported]; aws/cloudformation_stack [supported]; aws/cloudfront_distribution [supported]; aws/codebuild_project [supported]; aws/codebuild_source_credential [supported]; aws/dynamodb_table [supported]; aws/ebs_volume [supported]; aws/ec2_ebs_encryption_by_default [supported]; aws/eks_cluster [supported]; aws/elbv2_listener [supported]; aws/elbv2_load_balancer [supported]; aws/guardduty_detector [supported]; aws/guardduty_finding [supported]; aws/kms_key [supported]; aws/lambda_function [supported]; aws/rds_instance [supported]; aws/redshift_cluster [supported]; aws/s3_bucket [supported]; aws/s3_bucket_mfa_delete [supported]; aws/sagemaker_endpoint_configuration [supported]; aws/sagemaker_training_job [supported]; aws/secret [supported]; aws/securityhub_finding [supported]; aws/sns_topic [supported]; aws/sqs_queue [supported]; aws_bedrock/guardrails [partial]; azure/aks_cluster [supported]; azure/app_service [supported]; azure/credential [supported]; azure/defender_config [supported]; azure/key_vault [supported]; azure/key_vault_key [supported]; azure/managed_disk [supported]; azure/postgresql_server [supported]; azure/service_principal [supported]; azure/sql_database [supported]; azure/storage_account [supported]; azure/virtual_machine [supported]; breach_response_system/privacy_incidents [supported]; duo/roles [supported]; gcp/bigquery_dataset [supported]; gcp/cloud_sql_instance [supported]; gcp/gcs_bucket [supported]; gcp/gke_cluster [supported]; gcp/kms_key [supported]; github/actions_workflow_content [partial]; microsoft_365/content_assets [partial]; microsoft_365/defender_alerts [partial]; microsoft_365/mailbox_delegations [supported]; microsoft_365/mailbox_forwarding_rules [supported]; microsoft_365/purview_dlp_policies [supported]; microsoft_365/purview_retention_policies [supported]; microsoft_365/sharepoint_anonymous_links [supported]; microsoft_365/sharepoint_external_sharing [supported]; microsoft_entra_id/risky_users [partial]; new_relic/findings [supported]; openai/data_retention [supported]; pagerduty/escalation_policies [supported]; panopticon/cases [supported]; phi_system_inventory/phi_systems [supported],CCPA/privacy-security-breach,"Do not claim privacy compliance from a security control alone; require processing scope, legal basis, request handling, safeguard, or breach evidence tied to the obligation.","Use the article, section, or safeguard that matches the privacy duty; adjacent duties need separate processing or request evidence.",Add source coverage or evidence requirements that support the mapped finding-control edge.,current,current,California Legislature,regulation,official_statute,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,"Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and rete..."
CIS AWS Foundations Benchmark v2.0,1.10,CIS AWS Foundations Benchmark v2.0 1.10,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,identity,identity_configuration,cis-benchmark-configuration-evidence,configuration_state_backed,benchmark_version_setting_scope,supports_benchmark_recommendation,governance-risk; identity-access,aws; github; google_workspace; grc_policy_repository; hris_system; microsoft_365; microsoft_entra_id; okta; risk_register; tailscale,,,"Do not claim benchmark conformance without product benchmark version, sampled asset or tenant, current setting state, and exception or remediation state.",Use the recommendation that names the setting or platform state; related benchmark sections are review context unless their settings are checked.,Add source coverage or evidence requirements that support the mapped finding-control edge.,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,official_benchmark_page,https://www.cisecurity.org/benchmark/amazon_web_services,"Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence."
CIS AWS Foundations Benchmark v2.0,1.12,CIS AWS Foundations Benchmark v2.0 1.12,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,identity,identity_configuration,cis-benchmark-configuration-evidence,configuration_state_backed,benchmark_version_setting_scope,supports_benchmark_recommendation,governance-risk; identity-access,aws; github; google_workspace; grc_policy_repository; hris_system; microsoft_365; microsoft_entra_id; okta; risk_register; tailscale,,,"Do not claim benchmark conformance without product benchmark version, sampled asset or tenant, current setting state, and exception or remediation state.",Use the recommendation that names the setting or platform state; related benchmark sections are review context unless their settings are checked.,Add source coverage or evidence requirements that support the mapped finding-control edge.,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,official_benchmark_page,https://www.cisecurity.org/benchmark/amazon_web_services,"Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence."
CIS AWS Foundations Benchmark v2.0,1.13,CIS AWS Foundations Benchmark v2.0 1.13,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,identity,identity_configuration,cis-benchmark-configuration-evidence,configuration_state_backed,benchmark_version_setting_scope,supports_benchmark_recommendation,governance-risk; identity-access,aws; github; google_workspace; grc_policy_repository; hris_system; microsoft_365; microsoft_entra_id; okta; risk_register; tailscale,,,"Do not claim benchmark conformance without product benchmark version, sampled asset or tenant, current setting state, and exception or remediation state.",Use the recommendation that names the setting or platform state; related benchmark sections are review context unless their settings are checked.,Add source coverage or evidence requirements that support the mapped finding-control edge.,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,official_benchmark_page,https://www.cisecurity.org/benchmark/amazon_web_services,"Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence."
CIS AWS Foundations Benchmark v2.0,1.14,CIS AWS Foundations Benchmark v2.0 1.14,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,identity,identity_configuration,cis-benchmark-configuration-evidence,configuration_state_backed,benchmark_version_setting_scope,supports_benchmark_recommendation,governance-risk; identity-access,aws; github; google_workspace; grc_policy_repository; hris_system; microsoft_365; microsoft_entra_id; okta; risk_register; tailscale,,,"Do not claim benchmark conformance without product benchmark version, sampled asset or tenant, current setting state, and exception or remediation state.",Use the recommendation that names the setting or platform state; related benchmark sections are review context unless their settings are checked.,Add source coverage or evidence requirements that support the mapped finding-control edge.,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,official_benchmark_page,https://www.cisecurity.org/benchmark/amazon_web_services,"Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence."
CIS AWS Foundations Benchmark v2.0,1.15,CIS AWS Foundations Benchmark v2.0 1.15,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,identity,identity_configuration,cis-benchmark-configuration-evidence,configuration_state_backed,benchmark_version_setting_scope,supports_benchmark_recommendation,governance-risk; identity-access,aws; github; google_workspace; grc_policy_repository; hris_system; microsoft_365; microsoft_entra_id; okta; risk_register; tailscale,,,"Do not claim benchmark conformance without product benchmark version, sampled asset or tenant, current setting state, and exception or remediation state.",Use the recommendation that names the setting or platform state; related benchmark sections are review context unless their settings are checked.,Add source coverage or evidence requirements that support the mapped finding-control edge.,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,official_benchmark_page,https://www.cisecurity.org/benchmark/amazon_web_services,"Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence."
CIS AWS Foundations Benchmark v2.0,1.19,CIS AWS Foundations Benchmark v2.0 1.19,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,identity,identity_configuration,cis-benchmark-configuration-evidence,configuration_state_backed,benchmark_version_setting_scope,supports_benchmark_recommendation,governance-risk; identity-access,aws; github; google_workspace; grc_policy_repository; hris_system; microsoft_365; microsoft_entra_id; okta; risk_register; tailscale,,,"Do not claim benchmark conformance without product benchmark version, sampled asset or tenant, current setting state, and exception or remediation state.",Use the recommendation that names the setting or platform state; related benchmark sections are review context unless their settings are checked.,Add source coverage or evidence requirements that support the mapped finding-control edge.,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,official_benchmark_page,https://www.cisecurity.org/benchmark/amazon_web_services,"Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence."
CIS AWS Foundations Benchmark v2.0,1.20,CIS AWS Foundations Benchmark v2.0 1.20,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,identity,identity_configuration,cis-benchmark-configuration-evidence,configuration_state_backed,benchmark_version_setting_scope,supports_benchmark_recommendation,governance-risk; identity-access,aws; github; google_workspace; grc_policy_repository; hris_system; microsoft_365; microsoft_entra_id; okta; risk_register; tailscale,,,"Do not claim benchmark conformance without product benchmark version, sampled asset or tenant, current setting state, and exception or remediation state.",Use the recommendation that names the setting or platform state; related benchmark sections are review context unless their settings are checked.,Add source coverage or evidence requirements that support the mapped finding-control edge.,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,official_benchmark_page,https://www.cisecurity.org/benchmark/amazon_web_services,"Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence."
CIS AWS Foundations Benchmark v2.0,1.21,CIS AWS Foundations Benchmark v2.0 1.21,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,identity,identity_configuration,cis-benchmark-configuration-evidence,configuration_state_backed,benchmark_version_setting_scope,supports_benchmark_recommendation,governance-risk; identity-access,aws; github; google_workspace; grc_policy_repository; hris_system; microsoft_365; microsoft_entra_id; okta; risk_register; tailscale,,,"Do not claim benchmark conformance without product benchmark version, sampled asset or tenant, current setting state, and exception or remediation state.",Use the recommendation that names the setting or platform state; related benchmark sections are review context unless their settings are checked.,Add source coverage or evidence requirements that support the mapped finding-control edge.,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,official_benchmark_page,https://www.cisecurity.org/benchmark/amazon_web_services,"Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence."
CIS AWS Foundations Benchmark v2.0,1.4,CIS AWS Foundations Benchmark v2.0 1.4,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,identity,identity_configuration,cis-benchmark-configuration-evidence,configuration_state_backed,benchmark_version_setting_scope,supports_benchmark_recommendation,governance-risk; identity-access,aws; github; google_workspace; grc_policy_repository; hris_system; microsoft_365; microsoft_entra_id; okta; risk_register; tailscale,,,"Do not claim benchmark conformance without product benchmark version, sampled asset or tenant, current setting state, and exception or remediation state.",Use the recommendation that names the setting or platform state; related benchmark sections are review context unless their settings are checked.,Add source coverage or evidence requirements that support the mapped finding-control edge.,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,official_benchmark_page,https://www.cisecurity.org/benchmark/amazon_web_services,"Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence."
CIS AWS Foundations Benchmark v2.0,1.5,CIS AWS Foundations Benchmark v2.0 1.5,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,direct_control_only,missing_source_backing,high,source_backing_candidate,source_backing_required,identity,identity_configuration,cis-benchmark-configuration-evidence,configuration_state_backed,benchmark_version_setting_scope,supports_benchmark_recommendation,governance-risk; identity-access,aws; github; google_workspace; grc_policy_repository; hris_system; microsoft_365; microsoft_entra_id; okta; risk_register; tailscale,,,"Do not claim benchmark conformance without product benchmark version, sampled asset or tenant, current setting state, and exception or remediation state.",Use the recommendation that names the setting or platform state; related benchmark sections are review context unless their settings are checked.,Add source coverage or evidence requirements that support the mapped finding-control edge.,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,official_benchmark_page,https://www.cisecurity.org/benchmark/amazon_web_services,"Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence."
