source_id,source_name,dimension_id,dimension_type,support_level,high_value,families,evidence_types,control_domains,control_refs,control_families,purpose
archetype,Archetype,library_notes,entity_family,supported,true,vulnerability,knowledge_context,asset_inventory,CCPA 1798.100; CIS Controls v8 1; CIS Controls v8 2; CIS Controls v8 4; EU AI Act Art.11; GDPR Article 30; ISO 27001:2022 A.5.9; ISO 27001:2022 A.8.9; ISO 42001 A.2.2; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 CM-8; SOC 2 CC6.1; SOC 2 CC7.1,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 1 Inventory and Control of Enterprise Assets; CIS Controls v8 2 Inventory and Control of Software Assets; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; EU AI Act Art. Articles; GDPR Article Articles; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 A.2 Policies; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CM Configuration Management; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations,Declare source-backed Archetype asset_inventory evidence lanes.
archetype,Archetype,vulnerabilities,entity_family,supported,true,vulnerability,source_snapshot,asset_inventory,CCPA 1798.100; CIS Controls v8 1; CIS Controls v8 2; CIS Controls v8 4; EU AI Act Art.11; GDPR Article 30; ISO 27001:2022 A.5.9; ISO 27001:2022 A.8.9; ISO 42001 A.2.2; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 CM-8; SOC 2 CC6.1; SOC 2 CC7.1,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 1 Inventory and Control of Enterprise Assets; CIS Controls v8 2 Inventory and Control of Software Assets; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; EU AI Act Art. Articles; GDPR Article Articles; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 A.2 Policies; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CM Configuration Management; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations,Declare source-backed Archetype asset_inventory evidence lanes.
aurelius,Aurelius,findings,entity_family,supported,true,finding,source_snapshot,asset_inventory,CCPA 1798.100; CIS Controls v8 1; CIS Controls v8 2; CIS Controls v8 4; EU AI Act Art.11; GDPR Article 30; ISO 27001:2022 A.5.9; ISO 27001:2022 A.8.9; ISO 42001 A.2.2; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 CM-8; SOC 2 CC6.1; SOC 2 CC7.1,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 1 Inventory and Control of Enterprise Assets; CIS Controls v8 2 Inventory and Control of Software Assets; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; EU AI Act Art. Articles; GDPR Article Articles; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 A.2 Policies; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CM Configuration Management; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations,Declare source-backed Aurelius asset_inventory evidence lanes.
auth0,Auth0,audit_events,audit_event,supported,true,audit_events,logging_configuration,logging_monitoring,CIS Controls v8 8; EU AI Act Art.12; EU AI Act Art.72; HIPAA 164.312(b); ISO 27001:2022 A.8.15; ISO 27001:2022 A.8.16; ISO 42001 9.1; NIST 800-53 r5 AU-12; NIST 800-53 r5 AU-2; NIST 800-53 r5 AU-6; NIST 800-53 r5 SI-4; PCI DSS v4.0.1 10.2; SOC 2 CC7.1; SOC 2 CC7.2; SOC 2 CC7.3,CIS Controls v8 8 Audit Log Management; EU AI Act Art. Articles; HIPAA 164.312 Technical Safeguards; ISO 27001:2022 A.8 Technology Controls; ISO 42001 9 Performance Evaluation; NIST 800-53 r5 AU Audit and Accountability; NIST 800-53 r5 SI System and Information Integrity; PCI DSS v4.0.1 10 Logging and Monitoring; SOC 2 CC7 System Operations,"Declare source-backed tenant user, role, audit log, and source sync evidence lanes from the Auth0 Management API."
auth0,Auth0,incremental_sync,incremental_sync,supported,true,audit_events; roles; users,source_sync_status,source_operations,CIS Controls v8 8; ISO 27001:2022 A.8.16; NIST 800-53 r5 AU-6; SOC 2 CC7.2,CIS Controls v8 8 Audit Log Management; ISO 27001:2022 A.8 Technology Controls; NIST 800-53 r5 AU Audit and Accountability; SOC 2 CC7 System Operations,"Declare source-backed tenant user, role, audit log, and source sync evidence lanes from the Auth0 Management API."
auth0,Auth0,roles,app_entitlement,supported,true,roles; user_roles,identity_configuration,identity_access,CIS Controls v8 5; CIS Controls v8 6; ISO 27001:2022 A.5.15; ISO 27001:2022 A.5.17; ISO 27001:2022 A.5.18; ISO 27001:2022 A.8.2; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.3; SOC 2 CC6.1; SOC 2 CC6.2; SOC 2 CC6.3; SOC 2 CC6.6,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 IA Identification and Authentication; PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication; SOC 2 CC6 Logical and Physical Access,"Declare source-backed tenant user, role, audit log, and source sync evidence lanes from the Auth0 Management API."
auth0,Auth0,users,entity_family,supported,true,users,identity_configuration,identity_access,CIS Controls v8 5; CIS Controls v8 6; ISO 27001:2022 A.5.15; ISO 27001:2022 A.5.16; ISO 27001:2022 A.5.17; ISO 27001:2022 A.5.18; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.3; SOC 2 CC6.1; SOC 2 CC6.2; SOC 2 CC6.3; SOC 2 CC6.6,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; ISO 27001:2022 A.5 Organizational Controls; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 IA Identification and Authentication; PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication; SOC 2 CC6 Logical and Physical Access,"Declare source-backed tenant user, role, audit log, and source sync evidence lanes from the Auth0 Management API."
aws,AWS,access_analyzer,entity_family,supported,true,access_analyzer,source_snapshot,asset_inventory,CCPA 1798.100; CIS Controls v8 1; CIS Controls v8 2; CIS Controls v8 4; EU AI Act Art.11; GDPR Article 30; ISO 27001:2022 A.5.9; ISO 27001:2022 A.8.9; ISO 42001 A.2.2; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 CM-8; SOC 2 CC6.1; SOC 2 CC7.1,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 1 Inventory and Control of Enterprise Assets; CIS Controls v8 2 Inventory and Control of Software Assets; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; EU AI Act Art. Articles; GDPR Article Articles; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 A.2 Policies; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CM Configuration Management; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations,"Declare source-backed cloud identity, exposure, logging, encryption, vulnerability, and threat-detection evidence lanes."
aws,AWS,access_key,entity_family,supported,true,access_key,source_snapshot,asset_inventory,CCPA 1798.100; CIS Controls v8 1; CIS Controls v8 2; CIS Controls v8 4; EU AI Act Art.11; GDPR Article 30; ISO 27001:2022 A.5.9; ISO 27001:2022 A.8.9; ISO 42001 A.2.2; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 CM-8; SOC 2 CC6.1; SOC 2 CC7.1,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 1 Inventory and Control of Enterprise Assets; CIS Controls v8 2 Inventory and Control of Software Assets; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; EU AI Act Art. Articles; GDPR Article Articles; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 A.2 Policies; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CM Configuration Management; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations,"Declare source-backed cloud identity, exposure, logging, encryption, vulnerability, and threat-detection evidence lanes."
aws,AWS,account_contact,entity_family,supported,true,account_contact; aws_account_alternate_contact; aws_account_security_contact,cloud_configuration; source_snapshot,cloud_security; identity_access; security_operations,CCPA 1798.150; CIS Controls v8 12; CIS Controls v8 13; CIS Controls v8 17; CIS Controls v8 4; CIS Controls v8 5; CIS Controls v8 6; CIS Controls v8 8; GDPR Article 33; GDPR Article 34; HIPAA 164.308(a)(6); ISO 27001:2022 A.5.15; ISO 27001:2022 A.5.17; ISO 27001:2022 A.5.18; ISO 27001:2022 A.5.24; ISO 27001:2022 A.5.25; ISO 27001:2022 A.5.26; ISO 27001:2022 A.8.9; ISO 42001 10.1; ISO 42001 10.2; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-6; NIST 800-53 r5 CM-6; NIST 800-53 r5 IA-5; NIST 800-53 r5 IR-4; NIST 800-53 r5 SC-7; NIST 800-53 r5 SI-4; PCI DSS v4.0.1 1.3; PCI DSS v4.0.1 1.4; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.3; SOC 2 CC6.1; SOC 2 CC6.2; SOC 2 CC6.3; SOC 2 CC6.6; SOC 2 CC7.1; SOC 2 CC7.2; SOC 2 CC7.3; SOC 2 CC7.4; SOC 2 CC8.1,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 12 Network Infrastructure Management; CIS Controls v8 13 Network Monitoring and Defense; CIS Controls v8 17 Incident Response Management; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; CIS Controls v8 8 Audit Log Management; GDPR Article Articles; HIPAA 164.308 Administrative Safeguards; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 10 Improvement; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CM Configuration Management; NIST 800-53 r5 IA Identification and Authentication; NIST 800-53 r5 IR Incident Response; NIST 800-53 r5 SC System and Communications Protection; NIST 800-53 r5 SI System and Information Integrity; PCI DSS v4.0.1 1 Network Security Controls; PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations; SOC 2 CC8 Change Management,"Declare source-backed cloud identity, exposure, logging, encryption, vulnerability, and threat-detection evidence lanes."
aws,AWS,apigateway_method,entity_family,supported,true,api_gateway; apigateway; apigateway_method,application_access_control; identity_configuration; source_snapshot,asset_inventory; identity_access,CCPA 1798.100; CIS Controls v8 1; CIS Controls v8 2; CIS Controls v8 4; CIS Controls v8 5; CIS Controls v8 6; EU AI Act Art.11; GDPR Article 30; ISO 27001:2022 A.5.15; ISO 27001:2022 A.5.17; ISO 27001:2022 A.5.18; ISO 27001:2022 A.5.9; ISO 27001:2022 A.8.9; ISO 42001 A.2.2; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-6; NIST 800-53 r5 CM-6; NIST 800-53 r5 CM-8; NIST 800-53 r5 IA-2; NIST 800-53 r5 IA-5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.3; PCI DSS v4.0.1 8.4; SOC 2 CC6.1; SOC 2 CC6.2; SOC 2 CC6.3; SOC 2 CC6.6; SOC 2 CC7.1,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 1 Inventory and Control of Enterprise Assets; CIS Controls v8 2 Inventory and Control of Software Assets; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; EU AI Act Art. Articles; GDPR Article Articles; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 A.2 Policies; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CM Configuration Management; NIST 800-53 r5 IA Identification and Authentication; PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations,"Declare source-backed cloud identity, exposure, logging, encryption, vulnerability, and threat-detection evidence lanes."
aws,AWS,apigateway_rest_api,entity_family,supported,true,api_gateway; apigateway; apigateway_rest_api,network_exposure; source_snapshot,asset_inventory; network_security,CCPA 1798.100; CIS AWS Foundations Benchmark v2.0 2.6; CIS Controls v8 1; CIS Controls v8 13; CIS Controls v8 2; CIS Controls v8 4; EU AI Act Art.11; GDPR Article 30; ISO 27001:2022 A.5.9; ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.22; ISO 27001:2022 A.8.9; ISO 42001 A.2.2; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 CM-8; NIST 800-53 r5 SC-7; PCI DSS v4.0.1 1.2; PCI DSS v4.0.1 1.3; PCI DSS v4.0.1 1.4; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC6.7; SOC 2 CC7.1,CCPA 1798 Consumer Privacy Rights; CIS AWS Foundations Benchmark v2.0 2 Storage; CIS Controls v8 1 Inventory and Control of Enterprise Assets; CIS Controls v8 13 Network Monitoring and Defense; CIS Controls v8 2 Inventory and Control of Software Assets; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; EU AI Act Art. Articles; GDPR Article Articles; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 A.2 Policies; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CM Configuration Management; NIST 800-53 r5 SC System and Communications Protection; PCI DSS v4.0.1 1 Network Security Controls; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations,"Declare source-backed cloud identity, exposure, logging, encryption, vulnerability, and threat-detection evidence lanes."
