tag,tag_kind,tag_source,rule_id,name,domain,severity,evidence_mode,path
access-control,routing,metadata,identity-office365-deprovision,Office 365 Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-office365-deprovision.yaml
access-control,routing,metadata,identity-okta-duplicate-email,Okta Duplicate Account Emails,identity,high,query,policies/identity/identity-okta-duplicate-email.yaml
access-control,routing,metadata,identity-okta-terminated-active-account,Okta Terminated Accounts Still Active,identity,high,query,policies/identity/identity-okta-terminated-active-account.yaml
access-control,routing,metadata,identity-onelogin-duplicate-email,Onelogin Duplicate Account Emails,identity,high,query,policies/identity/identity-onelogin-duplicate-email.yaml
access-control,routing,metadata,identity-onelogin-terminated-active-account,Onelogin Terminated Accounts Still Active,identity,high,query,policies/identity/identity-onelogin-terminated-active-account.yaml
access-control,routing,metadata,identity-oracle-idcs-deprovision,Oracle IDCS Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-oracle-idcs-deprovision.yaml
access-control,routing,metadata,identity-oracle-idcs-duplicate-email,Oracle Idcs Duplicate Account Emails,identity,high,query,policies/identity/identity-oracle-idcs-duplicate-email.yaml
access-control,routing,metadata,identity-oracle-idcs-terminated-active-account,Oracle Idcs Terminated Accounts Still Active,identity,high,query,policies/identity/identity-oracle-idcs-terminated-active-account.yaml
access-control,routing,metadata,identity-panther-duplicate-email,Panther Duplicate Account Emails,identity,high,query,policies/identity/identity-panther-duplicate-email.yaml
access-control,routing,metadata,identity-panther-terminated-active-account,Panther Terminated Accounts Still Active,identity,high,query,policies/identity/identity-panther-terminated-active-account.yaml
access-control,routing,metadata,identity-pingidentity-deprovision,PingIdentity Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-pingidentity-deprovision.yaml
access-control,routing,metadata,identity-pingidentity-duplicate-email,Pingidentity Duplicate Account Emails,identity,high,query,policies/identity/identity-pingidentity-duplicate-email.yaml
access-control,routing,metadata,identity-pingidentity-terminated-active-account,Pingidentity Terminated Accounts Still Active,identity,high,query,policies/identity/identity-pingidentity-terminated-active-account.yaml
access-control,routing,metadata,identity-ramp-duplicate-email,Ramp Duplicate Account Emails,identity,high,query,policies/identity/identity-ramp-duplicate-email.yaml
access-control,routing,metadata,identity-ramp-terminated-active-account,Ramp Terminated Accounts Still Active,identity,high,query,policies/identity/identity-ramp-terminated-active-account.yaml
access-control,routing,metadata,identity-sailpoint-deprovision,SailPoint Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-sailpoint-deprovision.yaml
access-control,routing,metadata,identity-sailpoint-duplicate-email,Sailpoint Duplicate Account Emails,identity,high,query,policies/identity/identity-sailpoint-duplicate-email.yaml
access-control,routing,metadata,identity-sailpoint-terminated-active-account,Sailpoint Terminated Accounts Still Active,identity,high,query,policies/identity/identity-sailpoint-terminated-active-account.yaml
access-control,routing,metadata,identity-salesforce-duplicate-email,Salesforce Duplicate Account Emails,identity,high,query,policies/identity/identity-salesforce-duplicate-email.yaml
access-control,routing,metadata,identity-salesforce-terminated-active-account,Salesforce Terminated Accounts Still Active,identity,high,query,policies/identity/identity-salesforce-terminated-active-account.yaml
access-control,routing,metadata,identity-saviynt-deprovision,Saviynt Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-saviynt-deprovision.yaml
access-control,routing,metadata,identity-saviynt-duplicate-email,Saviynt Duplicate Account Emails,identity,high,query,policies/identity/identity-saviynt-duplicate-email.yaml
access-control,routing,metadata,identity-saviynt-terminated-active-account,Saviynt Terminated Accounts Still Active,identity,high,query,policies/identity/identity-saviynt-terminated-active-account.yaml
access-control,routing,metadata,identity-servicenow-duplicate-email,Servicenow Duplicate Account Emails,identity,high,query,policies/identity/identity-servicenow-duplicate-email.yaml
access-control,routing,metadata,identity-servicenow-terminated-active-account,Servicenow Terminated Accounts Still Active,identity,high,query,policies/identity/identity-servicenow-terminated-active-account.yaml
access-control,routing,metadata,identity-slack-deprovision,Slack Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-slack-deprovision.yaml
access-control,routing,metadata,identity-slack-duplicate-email,Slack Duplicate Account Emails,identity,high,query,policies/identity/identity-slack-duplicate-email.yaml
access-control,routing,metadata,identity-slack-terminated-active-account,Slack Terminated Accounts Still Active,identity,high,query,policies/identity/identity-slack-terminated-active-account.yaml
access-control,routing,metadata,identity-splunk-duplicate-email,Splunk Duplicate Account Emails,identity,high,query,policies/identity/identity-splunk-duplicate-email.yaml
access-control,routing,metadata,identity-splunk-terminated-active-account,Splunk Terminated Accounts Still Active,identity,high,query,policies/identity/identity-splunk-terminated-active-account.yaml
access-control,routing,metadata,identity-tailscale-deprovision,Tailscale Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-tailscale-deprovision.yaml
access-control,routing,metadata,identity-tailscale-duplicate-email,Tailscale Duplicate Account Emails,identity,high,query,policies/identity/identity-tailscale-duplicate-email.yaml
access-control,routing,metadata,identity-tailscale-terminated-active-account,Tailscale Terminated Accounts Still Active,identity,high,query,policies/identity/identity-tailscale-terminated-active-account.yaml
access-control,routing,metadata,identity-vanta-duplicate-email,Vanta Duplicate Account Emails,identity,high,query,policies/identity/identity-vanta-duplicate-email.yaml
access-control,routing,metadata,identity-vanta-terminated-active-account,Vanta Terminated Accounts Still Active,identity,high,query,policies/identity/identity-vanta-terminated-active-account.yaml
access-control,routing,metadata,identity-workday-duplicate-email,Workday Duplicate Account Emails,identity,high,query,policies/identity/identity-workday-duplicate-email.yaml
access-control,routing,metadata,identity-workday-terminated-active-account,Workday Terminated Accounts Still Active,identity,high,query,policies/identity/identity-workday-terminated-active-account.yaml
access-control,routing,metadata,identity-zoom-duplicate-email,Zoom Duplicate Account Emails,identity,high,query,policies/identity/identity-zoom-duplicate-email.yaml
access-control,routing,metadata,identity-zoom-terminated-active-account,Zoom Terminated Accounts Still Active,identity,high,query,policies/identity/identity-zoom-terminated-active-account.yaml
access-control,routing,metadata,m365-terminated-users-active,M365 Accounts Disabled on Termination,m365,high,query,policies/m365/m365-terminated-users-active.yaml
access-control,routing,metadata,terraform-cloud-no-team-access-control,Terraform Cloud Workspace Without Team Access Control,cicd,medium,cel,policies/cicd/terraform-cloud-no-team-access.yaml
access-governance,routing,metadata,identity-atlassian-duplicate-group-name,Atlassian Duplicate Group Names,identity,medium,query,policies/identity/identity-atlassian-duplicate-group-name.yaml
access-governance,routing,metadata,identity-cyberark-duplicate-group-name,Cyberark Duplicate Group Names,identity,medium,query,policies/identity/identity-cyberark-duplicate-group-name.yaml
access-governance,routing,metadata,identity-duo-duplicate-group-name,Duo Duplicate Group Names,identity,medium,query,policies/identity/identity-duo-duplicate-group-name.yaml
access-governance,routing,metadata,identity-entra-duplicate-group-name,Entra Duplicate Group Names,identity,medium,query,policies/identity/identity-entra-duplicate-group-name.yaml
access-governance,routing,metadata,identity-forgerock-duplicate-group-name,Forgerock Duplicate Group Names,identity,medium,query,policies/identity/identity-forgerock-duplicate-group-name.yaml
access-governance,routing,metadata,identity-github-runner-duplicate-group-name,Github Runner Duplicate Group Names,identity,medium,query,policies/identity/identity-github-runner-duplicate-group-name.yaml
access-governance,routing,metadata,identity-google-workspace-duplicate-group-name,Google Workspace Duplicate Group Names,identity,medium,query,policies/identity/identity-google-workspace-duplicate-group-name.yaml
access-governance,routing,metadata,identity-jumpcloud-duplicate-group-name,Jumpcloud Duplicate Group Names,identity,medium,query,policies/identity/identity-jumpcloud-duplicate-group-name.yaml
access-governance,routing,metadata,identity-okta-app-access-without-assignment,Okta App Access Without Assignment,identity,high,query,policies/identity/identity-okta-app-access-without-assignment.yaml
access-governance,routing,metadata,identity-okta-duplicate-group-name,Okta Duplicate Group Names,identity,medium,query,policies/identity/identity-okta-duplicate-group-name.yaml
access-governance,routing,metadata,identity-oracle-idcs-duplicate-group-name,Oracle Idcs Duplicate Group Names,identity,medium,query,policies/identity/identity-oracle-idcs-duplicate-group-name.yaml
access-governance,routing,metadata,identity-pingidentity-duplicate-group-name,Pingidentity Duplicate Group Names,identity,medium,query,policies/identity/identity-pingidentity-duplicate-group-name.yaml
access-governance,routing,metadata,identity-sailpoint-duplicate-group-name,Sailpoint Duplicate Group Names,identity,medium,query,policies/identity/identity-sailpoint-duplicate-group-name.yaml
access-governance,routing,metadata,identity-saviynt-duplicate-group-name,Saviynt Duplicate Group Names,identity,medium,query,policies/identity/identity-saviynt-duplicate-group-name.yaml
access-governance,routing,metadata,identity-servicenow-duplicate-group-name,Servicenow Duplicate Group Names,identity,medium,query,policies/identity/identity-servicenow-duplicate-group-name.yaml
access-governance,routing,metadata,identity-workday-duplicate-group-name,Workday Duplicate Group Names,identity,medium,query,policies/identity/identity-workday-duplicate-group-name.yaml
access-governance,routing,metadata,identity-zoom-duplicate-group-name,Zoom Duplicate Group Names,identity,medium,query,policies/identity/identity-zoom-duplicate-group-name.yaml
access-key,routing,metadata,aws-iam-access-key-rotation,IAM Access Key Rotation,aws,medium,cel,policies/aws/aws-iam-access-key-old.yaml
access-keys,routing,metadata,admin-inactive-keys,Admin user/service account with active access keys that are inactive for over 90 days,cerebro,high,cel,policies/cerebro/admin-inactive-keys.yaml
access-keys,routing,metadata,admin-keys-unrotated,Admin user/service account with active access keys were used in the past 90 days but not rotated in the past year,cerebro,high,cel,policies/cerebro/admin-keys-unrotated.yaml
access-keys,routing,metadata,admin-keys-year-unrotated,Admin user/service account with active access keys unrotated in the past year,cerebro,high,cel,policies/cerebro/admin-keys-year-unrotated.yaml
access-keys,routing,metadata,aws-iam-root-no-access-keys,Root Account Access Keys,aws,critical,cel,policies/aws/aws-iam-root-access-keys.yaml
access-keys,routing,metadata,aws-iam-single-access-key,IAM Users Have Single Active Access Key,aws,medium,cel,policies/aws/aws-iam-single-access-key.yaml
access-keys,routing,metadata,aws-iam-user-multiple-access-keys,IAM User Multiple Access Keys,aws,low,cel,policies/aws/aws-iam-user-multiple-access-keys.yaml
access-keys,routing,metadata,data-access-keys-unrotated,User/service account with access to sensitive data and active access keys unrotated in the past year,cerebro,high,cel,policies/cerebro/data-access-keys-unrotated.yaml
access-keys,routing,metadata,privileged-inactive-keys,User/service account with high privileges and active access key that are inactive for over 90 days,cerebro,high,cel,policies/cerebro/privileged-inactive-keys.yaml
access-keys,routing,metadata,privileged-keys-unrotated,User/service account with high privileges and active access keys that were used in the past 90 days but not rotated in the past year,cerebro,high,cel,policies/cerebro/privileged-keys-unrotated.yaml
access-keys,routing,metadata,user-privileged-access-keys,User account with high privileges has active access keys,cerebro,medium,cel,policies/cerebro/user-privileged-access-keys.yaml
access-management,routing,metadata,aws-iam-support-role,AWS IAM Support Role Exists,aws,low,cel,policies/aws/aws-iam-support-role.yaml
access-management,routing,metadata,identity-account-deprovision,Terminated User Accounts Deprovisioned,identity,critical,cel,policies/identity/identity-account-deprovision.yaml
access-review,routing,metadata,identity-atlassian-active-no-employee-record,Atlassian Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-atlassian-active-no-employee-record.yaml
access-review,routing,metadata,identity-auth0-active-no-employee-record,Auth0 Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-auth0-active-no-employee-record.yaml
access-review,routing,metadata,identity-auth0-stale-login-180d,Auth0 Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-auth0-stale-login-180d.yaml
access-review,routing,metadata,identity-auth0-stale-login-365d,Auth0 Stale Active Accounts (365 days),identity,high,query,policies/identity/identity-auth0-stale-login-365d.yaml
access-review,routing,metadata,identity-auth0-stale-login-90d,Auth0 Stale Active Accounts (90 days),identity,high,query,policies/identity/identity-auth0-stale-login-90d.yaml
access-review,routing,metadata,identity-break-glass-account-review,Identity Break Glass Account Review,identity,medium,cel,policies/identity/identity-break-glass-account-review.yaml
access-review,routing,metadata,identity-cyberark-active-no-employee-record,Cyberark Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-cyberark-active-no-employee-record.yaml
access-review,routing,metadata,identity-duo-active-no-employee-record,Duo Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-duo-active-no-employee-record.yaml
access-review,routing,metadata,identity-duo-stale-login-180d,Duo Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-duo-stale-login-180d.yaml
access-review,routing,metadata,identity-duo-stale-login-365d,Duo Stale Active Accounts (365 days),identity,high,query,policies/identity/identity-duo-stale-login-365d.yaml
access-review,routing,metadata,identity-duo-stale-login-90d,Duo Stale Active Accounts (90 days),identity,high,query,policies/identity/identity-duo-stale-login-90d.yaml
access-review,routing,metadata,identity-entra-active-no-employee-record,Entra ID Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-entra-active-no-employee-record.yaml
access-review,routing,metadata,identity-entra-risky-active-no-employee-record,Entra Risky Users Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-entra-risky-active-no-employee-record.yaml
access-review,routing,metadata,identity-entra-stale-login-180d,Entra Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-entra-stale-login-180d.yaml
access-review,routing,metadata,identity-entra-stale-login-365d,Entra ID Stale Active Accounts (365 days),identity,high,query,policies/identity/identity-entra-stale-login-365d.yaml
access-review,routing,metadata,identity-entra-stale-login-90d,Entra Stale Active Accounts (90 days),identity,high,query,policies/identity/identity-entra-stale-login-90d.yaml
access-review,routing,metadata,identity-forgerock-active-no-employee-record,ForgeRock Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-forgerock-active-no-employee-record.yaml
access-review,routing,metadata,identity-github-active-no-employee-record,GitHub Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-github-active-no-employee-record.yaml
access-review,routing,metadata,identity-gong-active-no-employee-record,Gong Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-gong-active-no-employee-record.yaml
access-review,routing,metadata,identity-google-workspace-active-no-employee-record,Google Workspace Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-google-workspace-active-no-employee-record.yaml
access-review,routing,metadata,identity-google-workspace-stale-login-180d,Google Workspace Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-google-workspace-stale-login-180d.yaml
access-review,routing,metadata,identity-google-workspace-stale-login-365d,Google Workspace Stale Active Accounts (365 days),identity,high,query,policies/identity/identity-google-workspace-stale-login-365d.yaml
access-review,routing,metadata,identity-google-workspace-stale-login-90d,Google Workspace Stale Active Accounts (90 days),identity,high,query,policies/identity/identity-google-workspace-stale-login-90d.yaml
access-review,routing,metadata,identity-jamf-active-no-employee-record,Jamf Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-jamf-active-no-employee-record.yaml
access-review,routing,metadata,identity-jumpcloud-active-no-employee-record,JumpCloud Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-jumpcloud-active-no-employee-record.yaml
access-review,routing,metadata,identity-kandji-active-no-employee-record,Kandji Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-kandji-active-no-employee-record.yaml
access-review,routing,metadata,identity-kolide-active-no-employee-record,Kolide Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-kolide-active-no-employee-record.yaml
access-review,routing,metadata,identity-kolide-stale-login-180d,Kolide Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-kolide-stale-login-180d.yaml
access-review,routing,metadata,identity-kolide-stale-login-365d,Kolide Stale Active Accounts (365 days),identity,high,query,policies/identity/identity-kolide-stale-login-365d.yaml
access-review,routing,metadata,identity-kolide-stale-login-90d,Kolide Stale Active Accounts (90 days),identity,high,query,policies/identity/identity-kolide-stale-login-90d.yaml
access-review,routing,metadata,identity-okta-active-no-employee-record,Okta Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-okta-active-no-employee-record.yaml
access-review,routing,metadata,identity-okta-stale-app-assignment-30d,Okta Stale App Assignment (30 days),identity,medium,query,policies/identity/identity-okta-stale-app-assignment-30d.yaml
access-review,routing,metadata,identity-okta-stale-app-assignment-90d,Okta Stale App Assignment (90 days),identity,high,query,policies/identity/identity-okta-stale-app-assignment-90d.yaml
access-review,routing,metadata,identity-okta-stale-app-assignment-graph-30d,Okta Stale App Assignment Graph Evidence (30 days),identity,medium,graph,policies/identity/identity-okta-stale-app-assignment-graph-30d.yaml
access-review,routing,metadata,identity-okta-stale-login-180d,Okta Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-okta-stale-login-180d.yaml
access-review,routing,metadata,identity-okta-stale-login-365d,Okta Stale Active Accounts (365 days),identity,high,query,policies/identity/identity-okta-stale-login-365d.yaml
access-review,routing,metadata,identity-okta-stale-login-90d,Okta Stale Active Accounts (90 days),identity,high,query,policies/identity/identity-okta-stale-login-90d.yaml
access-review,routing,metadata,identity-okta-vendor-app-review-overdue,Okta Vendor App Linked to Overdue Vendor Review,identity,high,query,policies/identity/identity-okta-vendor-app-review-overdue.yaml
access-review,routing,metadata,identity-onelogin-active-no-employee-record,OneLogin Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-onelogin-active-no-employee-record.yaml
access-review,routing,metadata,identity-onelogin-stale-login-180d,Onelogin Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-onelogin-stale-login-180d.yaml
access-review,routing,metadata,identity-onelogin-stale-login-365d,OneLogin Stale Active Accounts (365 days),identity,high,query,policies/identity/identity-onelogin-stale-login-365d.yaml
access-review,routing,metadata,identity-onelogin-stale-login-90d,Onelogin Stale Active Accounts (90 days),identity,high,query,policies/identity/identity-onelogin-stale-login-90d.yaml
access-review,routing,metadata,identity-oracle-idcs-active-no-employee-record,Oracle IDCS Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-oracle-idcs-active-no-employee-record.yaml
access-review,routing,metadata,identity-panther-active-no-employee-record,Panther Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-panther-active-no-employee-record.yaml
access-review,routing,metadata,identity-pingidentity-active-no-employee-record,PingIdentity Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-pingidentity-active-no-employee-record.yaml
access-review,routing,metadata,identity-pingidentity-stale-login-180d,Pingidentity Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-pingidentity-stale-login-180d.yaml
access-review,routing,metadata,identity-pingidentity-stale-login-365d,PingIdentity Stale Active Accounts (365 days),identity,high,query,policies/identity/identity-pingidentity-stale-login-365d.yaml
access-review,routing,metadata,identity-pingidentity-stale-login-90d,Pingidentity Stale Active Accounts (90 days),identity,high,query,policies/identity/identity-pingidentity-stale-login-90d.yaml
access-review,routing,metadata,identity-privileged-access-review-overdue,Identity Privileged Access Review Overdue,identity,high,cel,policies/identity/identity-privileged-access-review-overdue.yaml
access-review,routing,metadata,identity-ramp-active-no-employee-record,Ramp Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-ramp-active-no-employee-record.yaml
access-review,routing,metadata,identity-sailpoint-active-no-employee-record,SailPoint Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-sailpoint-active-no-employee-record.yaml
access-review,routing,metadata,identity-salesforce-active-no-employee-record,Salesforce Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-salesforce-active-no-employee-record.yaml
access-review,routing,metadata,identity-saviynt-active-no-employee-record,Saviynt Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-saviynt-active-no-employee-record.yaml
access-review,routing,metadata,identity-servicenow-active-no-employee-record,Servicenow Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-servicenow-active-no-employee-record.yaml
access-review,routing,metadata,identity-servicenow-stale-login-180d,Servicenow Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-servicenow-stale-login-180d.yaml
access-review,routing,metadata,identity-servicenow-stale-login-365d,Servicenow Stale Active Accounts (365 days),identity,high,query,policies/identity/identity-servicenow-stale-login-365d.yaml
access-review,routing,metadata,identity-servicenow-stale-login-90d,Servicenow Stale Active Accounts (90 days),identity,high,query,policies/identity/identity-servicenow-stale-login-90d.yaml
access-review,routing,metadata,identity-slack-active-no-employee-record,Slack Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-slack-active-no-employee-record.yaml
access-review,routing,metadata,identity-splunk-active-no-employee-record,Splunk Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-splunk-active-no-employee-record.yaml
access-review,routing,metadata,identity-stale-accounts-disabled,Stale User Accounts Disabled,identity,medium,cel,policies/identity/identity-stale-accounts.yaml
access-review,routing,metadata,identity-tailscale-active-no-employee-record,Tailscale Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-tailscale-active-no-employee-record.yaml
access-review,routing,metadata,identity-tailscale-stale-login-180d,Tailscale Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-tailscale-stale-login-180d.yaml
access-review,routing,metadata,identity-tailscale-stale-login-365d,Tailscale Stale Active Accounts (365 days),identity,high,query,policies/identity/identity-tailscale-stale-login-365d.yaml
access-review,routing,metadata,identity-tailscale-stale-login-90d,Tailscale Stale Active Accounts (90 days),identity,high,query,policies/identity/identity-tailscale-stale-login-90d.yaml
access-review,routing,metadata,identity-vanta-active-no-employee-record,Vanta Active Accounts Without Employee Record,identity,medium,query,policies/identity/identity-vanta-active-no-employee-record.yaml
access-review,routing,metadata,identity-vanta-stale-login-180d,Vanta Stale Active Accounts (180 days),identity,high,query,policies/identity/identity-vanta-stale-login-180d.yaml
