framework,area_id,area_name,evidence_use,control_refs,control_families,purpose
ISO 27001:2022,identity-access-chain,Identity and access chain,review_group,ISO 27001:2022 6.1.2; ISO 27001:2022 8.2; ISO 27001:2022 A.5.15; ISO 27001:2022 A.5.16; ISO 27001:2022 A.5.17; ISO 27001:2022 A.5.18; ISO 27001:2022 A.6.1; ISO 27001:2022 A.6.2; ISO 27001:2022 A.6.3; ISO 27001:2022 A.8.1; ISO 27001:2022 A.8.2; ISO 27001:2022 A.8.3; ISO 27001:2022 A.8.5,ISO 27001:2022 6 Planning; ISO 27001:2022 8 Operation; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.6 People Controls; ISO 27001:2022 A.8 Technology Controls,"Review whether access policy, identity proofing, authentication, entitlement review, and privilege-use findings support a complete access-control packet."
ISO 27001:2022,operations-detection-response,"Operations, detection, and response chain",review_group,ISO 27001:2022 A.5.24; ISO 27001:2022 A.5.25; ISO 27001:2022 A.5.26; ISO 27001:2022 A.5.29; ISO 27001:2022 A.5.30; ISO 27001:2022 A.8.13; ISO 27001:2022 A.8.15; ISO 27001:2022 A.8.16; ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.22; ISO 27001:2022 A.8.24; ISO 27001:2022 A.8.25; ISO 27001:2022 A.8.28; ISO 27001:2022 A.8.32; ISO 27001:2022 A.8.8,ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls,"Review whether vulnerability, logging, monitoring, cryptography, configuration, incident, continuity, and recovery findings line up for operational assurance."
ISO 27701,privacy-management-evidence,Privacy management evidence,review_group,ISO 27701 7.2.6; ISO 27701 7.2.8; ISO 27701 8.2.1,ISO 27701 7 PII Controller Controls; ISO 27701 8 PII Processor Controls,"Review whether controller and processor privacy evidence, processing inventory, and personal-data handling responsibilities are represented together."
ISO 42001,ai-data-third-party-governance,AI data and third-party governance,review_group,ISO 42001 A.10.2; ISO 42001 A.10.3; ISO 42001 A.10.4; ISO 42001 A.7.2; ISO 42001 A.7.3; ISO 42001 A.7.4; ISO 42001 A.7.5; ISO 42001 A.7.6; ISO 42001 A.8.3; ISO 42001 A.8.4,ISO 42001 A.10 Third-Party and Customer Relationships; ISO 42001 A.7 Data; ISO 42001 A.8 Information for Interested Parties,"Review whether AI data quality, data provenance, supplier responsibilities, customer responsibilities, and interested-party information are complete for the system."
ISO 42001,ai-management-planning,AI management planning,review_group,ISO 42001 6.1; ISO 42001 6.2; ISO 42001 7.1; ISO 42001 7.2; ISO 42001 7.3; ISO 42001 A.2.2,ISO 42001 6 Planning; ISO 42001 7 Support; ISO 42001 A.2 Policies,"Review whether AI risk planning, objectives, inventory, competence, and stakeholder awareness evidence form a complete management-system packet."
ISO 42001,ai-system-operation-monitoring,AI system operation and monitoring,review_group,ISO 42001 10.1; ISO 42001 10.2; ISO 42001 8.4; ISO 42001 9.1; ISO 42001 9.2; ISO 42001 9.3; ISO 42001 9.4; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2,ISO 42001 10 Improvement; ISO 42001 8 Operation; ISO 42001 9 Performance Evaluation; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems,"Review whether AI system impact, deployment oversight, model monitoring, review, nonconformity, and corrective-action evidence are connected."
PCI DSS v4.0.1,access-authentication,Access and authentication,review_group,PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.1.3; PCI DSS v4.0.1 8.3; PCI DSS v4.0.1 8.3.6; PCI DSS v4.0.1 8.3.7; PCI DSS v4.0.1 8.4; PCI DSS v4.0.1 8.4.2,PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication,"Review whether access restriction, authentication strength, multifactor coverage, and service-account controls are complete for the cardholder-data environment."
PCI DSS v4.0.1,account-data-secret-protection,Account data and secret protection,review_group,PCI DSS v4.0.1 3.3; PCI DSS v4.0.1 3.5; PCI DSS v4.0.1 3.5.1; PCI DSS v4.0.1 8.6,PCI DSS v4.0.1 3 Account Data Protection; PCI DSS v4.0.1 8 Identity and Authentication,"Review whether stored account data, cryptographic material, secret handling, and automated credential use have current protection evidence."
PCI DSS v4.0.1,logging-testing-response,"Logging, testing, and response",review_group,PCI DSS v4.0.1 10.2; PCI DSS v4.0.1 10.2.1; PCI DSS v4.0.1 10.3; PCI DSS v4.0.1 11.3; PCI DSS v4.0.1 12.10.1,PCI DSS v4.0.1 10 Logging and Monitoring; PCI DSS v4.0.1 11 Security Testing; PCI DSS v4.0.1 12 Security Program,"Review whether audit logging, event detail, security testing, and incident response evidence support payment-card monitoring obligations."
PCI DSS v4.0.1,network-exposure,Network exposure control,review_group,PCI DSS v4.0.1 1.3; PCI DSS v4.0.1 1.3.1; PCI DSS v4.0.1 1.4; PCI DSS v4.0.1 4.2; PCI DSS v4.0.1 4.2.1,PCI DSS v4.0.1 1 Network Security Controls; PCI DSS v4.0.1 4 Transmission Protection,"Review whether network boundary, public exposure, and encrypted transmission findings cover the cardholder-data environment entry points."
SOC 2,access-authorization,Access authorization review,review_group,SOC 2 CC6.1; SOC 2 CC6.2; SOC 2 CC6.3; SOC 2 CC6.6; SOC 2 CC6.7; SOC 2 CC6.8,SOC 2 CC6 Logical and Physical Access,"Review whether identity, authorization, access change, and privileged access findings tell one control story for the audit period."
SOC 2,security-operations,Security operations review,review_group,SOC 2 CC7.1; SOC 2 CC7.2; SOC 2 CC7.3; SOC 2 CC7.4; SOC 2 CC7.5; SOC 2 CC8.1,SOC 2 CC7 System Operations; SOC 2 CC8 Change Management,"Review whether monitoring, alert handling, investigation, change control, and incident follow-up evidence are complete for active security risks."
